Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2013,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2013,Feb. 2013,Mar. 2013,Apr. 2013,May 2013,Jun. 2013,Jul. 2013,Aug. 2013,Sep. 2013,Oct. 2013,Nov. 2013,Dec. 2013,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",375468,373974,421748,408551,437214,414816,422532,435215,396415,415942,424095,477362,5003332
,Retail sales and food services excl motor vehicle and parts,306084,300849,337976,326887,350308,332014,336255,346249,320614,336805,348340,398778,4041159
,Retail sales and food services excl gasoline stations,333706,331745,374018,361736,388019,366330,372707,385652,350343,369425,381698,434190,4449569
,Retail sales and food services excl motor vehicle and parts and gasoline stations,264322,258620,290246,280072,301113,283528,286430,296686,274542,290288,305943,355606,3487396
,"Retail sales, total",333663,332471,374171,362978,389709,369355,377031,388299,352749,369868,378800,430754,4459848
,"Retail sales, total (excl. motor vehicle and parts dealers)",264279,259346,290399,281314,302803,286553,290754,299333,276948,290731,303045,352170,3497675
,GAFO(1),86297,89304,100628,92422,100605,96807,96603,104854,93006,98325,112537,142384,1213772
441,Motor vehicle and parts dealers,69384,73125,83772,81664,86906,82802,86277,88966,75801,79137,75755,78584,962173
"4411,4412",Automobile and other motor vehicle dealers,62999,66624,76641,74547,79448,75618,78809,81261,68825,71395,68678,71792,876637
4411,Automobile dealers,59981,63193,71700,69013,73193,69762,73343,75873,64594,67373,65195,68648,821868
44111,New car dealers,53205,54771,63412,61553,65942,62723,66302,68513,58264,60591,58914,62963,737153
44112,Used car dealers,6776,8422,8288,7460,7251,7039,7041,7360,6330,6782,6281,5685,84715
4413,"Automotive parts, acc., and tire stores",6385,6501,7131,7117,7458,7184,7468,7705,6976,7742,7077,6792,85536
"442,443","Furniture, home furn, electronics, and appliance stores",15471,15361,16179,14692,15752,15457,16078,16906,15744,16139,19244,22247,199270
442,Furniture and home furnishings stores,7303,7100,7891,7333,7860,7587,8013,8503,7890,8109,8895,9250,95734
4421,Furniture stores,3974,3998,4492,3995,4238,4111,4265,4604,4302,4310,4628,4272,51189
4422,Home furnishings stores,3329,3102,3399,3338,3622,3476,3748,3899,3588,3799,4267,4978,44545
44221,Floor covering stores,1209,1181,1301,1304,1443,1419,1518,1604,1494,1559,1492,1359,16883
442299,All other home furnishings stores,2014,1831,2004,1937,2075,1947,2115,2194,1990,2131,2669,3523,26430
443,Electronics and appliance stores,8168,8261,8288,7359,7892,7870,8065,8403,7854,8030,10349,12997,103536
443141,Household appliance stores,1241,1291,1382,1311,1483,1410,1501,1479,1412,1452,1609,1648,17219
443142,Electronics stores,6927,6970,6906,6048,6409,6460,6564,6924,6442,6578,8740,11349,86317
444,Building mat. and garden equip. and supplies dealers,19284,18638,23118,28750,32626,27664,27370,26001,24177,26000,23747,22186,299561
4441,Building mat. and supplies dealers,17033,16372,19735,23775,26416,23379,23878,23012,21382,22833,20828,19049,257692
44412,Paint and wallpaper stores,659,624,738,832,906,862,921,935,822,834,683,595,9411
44413,Hardware stores,1483,1424,1629,1882,2041,1924,1823,1821,1700,1852,1793,1850,21222
445,Food and beverage stores,51652,48596,54260,50388,55266,53261,54534,55121,51749,53747,54764,58208,641546
4451,Grocery stores,47095,43863,48910,45367,49615,47840,48871,49387,46601,48396,49026,50505,575476
44511,Supermarkets and other grocery (except convenience) stores,45249,42051,46877,43327,47387,45633,46574,47055,44408,46195,46893,48337,549986
4453,"Beer, wine, and liquor stores",3143,3212,3603,3464,3916,3776,3994,4056,3588,3741,4007,5147,45647
446,Health and personal care stores,23289,21743,23533,22815,23562,22121,23052,23352,22755,24056,23154,26611,280043
44611,Pharmacies and drug stores,19799,18170,19552,19075,19692,18422,19324,19401,19047,20286,19361,21849,233978
447,Gasoline stations,41762,42229,47730,46815,49195,48486,49825,49563,46072,46517,42397,43172,553763
448,Clothing and clothing access. stores,15165,17397,20591,19194,20803,18964,19202,21591,18136,19884,22472,31646,245045
4481,Clothing stores,11297,12242,15366,14103,15153,14128,14313,15645,13471,14816,16783,21730,179047
44811,Men's clothing stores,603,566,690,728,761,691,662,704,699,807,821,1118,8850
44812,Women's clothing stores,2657,2797,3720,3495,3724,3253,3161,3458,3266,3483,3793,4701,41508
44814,Family clothing stores,5655,6309,7971,7293,7981,7485,7857,8365,7070,8000,9283,11994,95263
44819,Other clothing stores,1037,1147,1348,1192,1198,1266,1132,1318,1050,1070,1219,1579,14556
4482,Shoe stores,1898,2416,2866,2647,2677,2481,2651,3562,2450,2623,2799,3719,32789
