Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2008,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2008,Feb. 2008,Mar. 2008,Apr. 2008,May 2008,Jun. 2008,Jul. 2008,Aug. 2008,Sep. 2008,Oct. 2008,Nov. 2008,Dec. 2008,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",342639,343893,372907,368920,397956,378507,383726,382862,350542,349847,335545,384236,4391580
,Retail sales and food services excl motor vehicle and parts,276796,274863,296293,295184,321829,309079,314049,313186,290053,294821,287679,331883,3605715
,Retail sales and food services excl gasoline stations,303949,306277,330681,325257,349444,328422,331998,333794,305360,309222,305676,357861,3887941
,Retail sales and food services excl motor vehicle and parts and gasoline stations,238106,237247,254067,251521,273317,258994,262321,264118,244871,254196,257810,305508,3102076
,"Retail sales, total",307576,308171,334416,331002,357277,339791,344158,342443,313308,311422,299238,346513,3935315
,"Retail sales, total (excl. motor vehicle and parts dealers)",241733,239141,257802,257266,281150,270363,274481,272767,252819,256396,251372,294160,3149450
,GAFO(1),82944,85539,91761,87462,97590,92346,92496,98336,84961,88650,101013,133278,1136376
441,Motor vehicle and parts dealers,65843,69030,76614,73736,76127,69428,69677,69676,60489,55026,47866,52353,785865
"4411,4412",Automobile and other motor vehicle dealers,60169,63205,70321,67336,69485,62743,62742,63088,54121,48293,41843,46201,709547
4411,Automobile dealers,56319,58684,64382,60804,62079,56153,56522,57661,49995,44704,38987,43215,649505
44111,New car dealers,49775,51502,57091,53864,55396,49500,50236,51435,44333,39272,34535,38654,575593
44112,Used car dealers,6544,7182,7291,6940,6683,6653,6286,6226,5662,5432,4452,4561,73912
4413,"Automotive parts, acc., and tire stores",5674,5825,6293,6400,6642,6685,6935,6588,6368,6733,6023,6152,76318
"442,443","Furniture, home furn, electronics, and appliance stores",16843,16813,16910,15987,17438,16752,17302,17473,15723,15501,18055,22307,207104
442,Furniture and home furnishings stores,8163,8104,8381,8029,8604,8117,8495,8456,7676,7712,8121,8862,98720
4421,Furniture stores,4597,4658,4701,4406,4714,4262,4425,4630,4100,3982,4096,4137,52708
4422,Home furnishings stores,3566,3446,3680,3623,3890,3855,4070,3826,3576,3730,4025,4725,46012
44221,Floor covering stores,1475,1472,1615,1594,1708,1673,1741,1627,1593,1602,1380,1284,18764
442299,All other home furnishings stores,1964,1839,1932,1888,2050,2054,2181,2070,1856,2001,2526,3335,25696
443,Electronics and appliance stores,8680,8709,8529,7958,8834,8635,8807,9017,8047,7789,9934,13445,108384
443141,Household appliance stores,1316,1362,1369,1392,1468,1493,1491,1413,1338,1334,1440,1572,16988
443142,Electronics stores,7364,7347,7160,6566,7366,7142,7316,7604,6709,6455,8494,11873,91396
444,Building mat. and garden equip. and supplies dealers,20551,20311,23894,28686,31911,29255,28610,25409,25079,25728,21708,20691,301833
4441,Building mat. and supplies dealers,18677,18247,20722,24370,26291,24818,25033,22746,22364,22797,18968,18049,263082
44412,Paint and wallpaper stores,674,664,749,825,890,885,957,901,845,838,622,565,9415
44413,Hardware stores,1416,1335,1531,1794,2067,1951,1780,1681,1593,1675,1592,1657,20072
445,Food and beverage stores,45794,44062,47064,45386,49605,47134,49156,49035,46028,47737,47675,50600,569276
4451,Grocery stores,41864,39915,42590,40966,44549,42299,44057,44010,41378,42811,42751,44032,511222
44511,Supermarkets and other grocery (except convenience) stores,40060,38147,40692,39083,42481,40261,41942,41935,39465,41013,41088,42373,488540
4453,"Beer, wine, and liquor stores",2675,2806,2989,2997,3420,3279,3517,3472,3151,3351,3386,4461,39504
446,Health and personal care stores,20200,20056,20755,20051,20906,20046,20434,20249,19993,20886,19833,23164,246573
44611,Pharmacies and drug stores,17449,17201,17719,17143,17871,17038,17413,17200,17176,18019,16975,19653,210857
447,Gasoline stations,38690,37616,42226,43663,48512,50085,51728,49068,45182,40625,29869,26375,503639
448,Clothing and clothing access. stores,14173,15876,17770,17103,19084,17007,17369,19041,15882,16796,18756,26726,215583
4481,Clothing stores,10478,11092,13223,12671,13804,12577,12814,13753,11890,12580,14156,18664,157702
44811,Men's clothing stores,609,586,681,710,757,715,622,655,635,664,708,1009,8351
44812,Women's clothing stores,2519,2763,3392,3439,3603,3149,2972,3144,3064,3071,3242,4044,38402
44814,Family clothing stores,5240,5603,6583,6289,7056,6469,7001,7528,6056,6620,7809,10545,82799
44819,Other clothing stores,967,911,1004,940,1016,1034,916,878,841,918,966,1373,11764
4482,Shoe stores,1772,2037,2317,2242,2394,2112,2226,2897,1953,2068,2175,2782,26975
44831,Jewelry stores,1797,2609,2074,2044,2715,2159,2163,2223,1910,1997,2253,5049,28993
