Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1996,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1996,Feb. 1996,Mar. 1996,Apr. 1996,May 1996,Jun. 1996,Jul. 1996,Aug. 1996,Sep. 1996,Oct. 1996,Nov. 1996,Dec. 1996,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",185019,192380,212110,211718,226936,217511,218111,226062,209250,222663,223953,258081,2603794
,Retail sales and food services excl motor vehicle and parts,140160,142805,156474,157622,168786,162597,163040,170581,158129,168434,175816,211843,1976287
,Retail sales and food services excl gasoline stations,170546,178221,196494,195694,209508,200554,201072,208791,193275,205992,207716,241506,2409369
,Retail sales and food services excl motor vehicle and parts and gasoline stations,125687,128646,140858,141598,151358,145640,146001,153310,142154,151763,159579,195268,1781862
,"Retail sales, total",167372,173941,191851,191886,205797,196842,197140,204270,189424,201927,203621,237478,2361549
,"Retail sales, total (excl. motor vehicle and parts dealers)",122513,124366,136215,137790,147647,141928,142069,148789,138303,147698,155484,191240,1734042
,GAFO(1),43533,45999,51526,51479,55557,53585,52522,58714,53061,56556,65498,94583,682613
441,Motor vehicle and parts dealers,44859,49575,55636,54096,58150,54914,55071,55481,51121,54229,48137,46238,627507
"4411,4412",Automobile and other motor vehicle dealers,40774,45392,51156,49404,53269,50191,50106,50510,46624,49156,43541,41820,571943
4411,Automobile dealers,39261,43538,48844,46624,50252,47187,47404,47531,44473,46980,41746,40109,543949
44111,New car dealers,36390,40087,44798,42745,46525,43649,43833,44020,41252,43454,38484,37103,502340
44112,Used car dealers,2871,3451,4046,3879,3727,3538,3571,3511,3221,3526,3262,3006,41609
4413,"Automotive parts, acc., and tire stores",4085,4183,4480,4692,4881,4723,4965,4971,4497,5073,4596,4418,55564
"442,443","Furniture, home furn, electronics, and appliance stores",10614,10431,11419,10925,11517,11376,11564,12151,11525,12044,13353,16848,143767
442,Furniture and home furnishings stores,4788,4833,5410,5310,5603,5479,5673,5893,5589,5970,6425,6734,67707
4421,Furniture stores,2884,2960,3270,3127,3278,3205,3242,3358,3232,3344,3619,3649,39168
4422,Home furnishings stores,1904,1873,2140,2183,2325,2274,2431,2535,2357,2626,2806,3085,28539
44221,Floor covering stores,1039,1006,1135,1225,1242,1211,1303,1322,1244,1371,1292,1249,14639
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
443,Electronics and appliance stores,5826,5598,6009,5615,5914,5897,5891,6258,5936,6074,6928,10114,76060
443141,Household appliance stores,748,699,784,802,858,853,855,899,817,856,944,1100,10215
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
444,Building mat. and garden equip. and supplies dealers,11587,11828,13406,15667,16952,16177,16228,15796,14901,16190,14430,13521,176683
4441,Building mat. and supplies dealers,10050,10148,11357,12751,13919,13529,13874,13765,12970,14060,12549,11481,150453
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
44413,Hardware stores,974,916,1025,1247,1364,1303,1238,1182,1079,1183,1172,1224,13907
445,Food and beverage stores,31733,30778,33060,32158,34382,33452,34426,34841,32214,33524,34045,36460,401073
4451,Grocery stores,29172,28191,30245,29344,31364,30470,31377,31747,29495,30674,31014,32454,365547
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
4453,"Beer, wine, and liquor stores",1679,1652,1837,1798,1957,1958,2034,2062,1781,1860,1992,2547,23157
446,Health and personal care stores,8401,8510,8964,8904,9366,8818,9079,9182,8611,9288,9132,11302,109557
44611,Pharmacies and drug stores,7134,7190,7510,7425,7755,7264,7484,7629,7208,7811,7699,9701,91810
447,Gasoline stations,14473,14159,15616,16024,17428,16957,17039,17271,15975,16671,16237,16575,194425
448,Clothing and clothing access. stores,7684,8991,10349,10570,11405,10554,10202,12134,10623,11250,12875,19944,136581
4481,Clothing stores,5325,6050,7189,7278,7648,7277,7000,8304,7495,8024,9114,13008,93712
44811,Men's clothing stores,639,651,708,718,774,759,660,761,744,793,919,1420,9546
44812,Women's clothing stores,1565,1834,2193,2346,2552,2375,2072,2353,2276,2413,2594,3665,28238
44814,Family clothing stores,2262,2627,3194,3175,3275,3155,3192,3851,3333,3659,4339,6197,42259
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
4482,Shoe stores,1245,1414,1757,1857,1889,1764,1738,2228,1676,1657,1778,2232,21235
44831,Jewelry stores,1036,1428,1306,1347,1755,1397,1366,1466,1323,1451,1830,4464,20169
451,"Sporting goods, hobby, musical instrument, and book stores",4140,3521,4102,4096,4042,4286,4166,4989,4334,4340,5208,8847,56071
45111,Sporting goods stores,1327,1309,1649,1702,1773,1895,1833,1992,1594,1453,1608,2675,20810
45112,"Hobby, toy, and game stores",705,737,890,862,669,849,877,874,870,1094,2002,4073,14502
451211,Book stores,1373,757,743,750,853,838,786,1359,1040,899,908,1599,11905
452,General merchandise stores,18968,20786,23572,23755,26154,25149,24073,26711,24163,26366,31144,44464,315305
4521,Department stores,12299,13768,15808,15957,17454,16655,15768,17932,16092,17462,21389,31619,212203
452111,Department stores(excl. discount department stores),4982,5810,6783,6754,7289,6797,6469,7806,7092,7615,9591,15184,92172
452112,Discount dept. stores,7317,7958,9025,9203,10165,9858,9299,10126,9000,9847,11798,16435,120031
4529,Other general merchandise stores,6669,7018,7764,7798,8700,8494,8305,8779,8071,8904,9755,12845,103102
45291,Warehouse clubs and superstores,4758,4915,5432,5474,6125,6027,5913,6244,5808,6371,6993,9019,73079
45299,All other gen. merchandise stores,1911,2103,2332,2324,2575,2467,2392,2535,2263,2533,2762,3826,30023
453,Miscellaneous store retailers,5367,5945,5950,6509,7520,7041,7082,7244,6729,7017,7036,9379,82819
4532,"Office supplies, stationery, and gift stores",2127,2270,2084,2133,2439,2220,2517,2729,2416,2556,2918,4480,30889
45321,Office supplies and stationery stores,1371,1297,1184,1131,1235,1105,1256,1436,1314,1332,1337,1594,15592
45322,"Gift, novelty, and souvenir stores",756,973,900,1002,1204,1115,1261,1293,1102,1224,1581,2886,15297
45330,Used merchandise stores,481,481,578,598,744,618,591,611,588,631,630,705,7256
454,Nonstore retailers,9546,9417,9777,9182,8881,8118,8210,8470,9228,11008,12024,13900,117761
4541,Electronic shopping and mail-order houses,4549,4226,4703,4566,4563,4250,4442,4586,4875,5816,6676,7854,61106
45431,Fuel dealers,2865,2569,2223,1731,1458,1191,1237,1286,1447,1853,2053,2650,22563
722,Food services and drinking places,17647,18439,20259,19832,21139,20669,20971,21792,19826,20736,20332,20603,242245
7224,Drinking places,993,1026,1114,1050,1094,1069,1096,1137,1053,1100,1101,1116,12949
7225,Restaurants and other eating places,15338,15979,17563,17200,18344,17985,18279,18964,17161,17940,17583,17813,210149
722511,Full service restaurants,7503,7911,8650,8469,8941,8682,8944,9513,8642,8998,8972,8888,104113
"722513, 722514, 722515",Limited service eating places,7835,8068,8913,8731,9403,9303,9335,9451,8519,8942,8611,8925,106036
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",208699,212008,213891,214676,216299,216068,216332,216358,219256,221060,220963,221991,
,Retail sales and food services excl motor vehicle and parts,158350,159720,161543,163145,164099,164270,164328,164886,166072,167610,168253,169156,
,Retail sales and food services excl gasoline stations,193220,196551,197940,198424,199811,199716,200257,200292,203168,204700,204361,205232,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,142871,144263,145592,146893,147611,147918,148253,148820,149984,151250,151651,152397,
,"Retail sales, total",189135,192266,194029,194744,196205,196136,196187,196218,198859,200509,200174,201284,
,"Retail sales, total (excl. motor vehicle and parts dealers)",138786,139978,141681,143213,144005,144338,144183,144746,145675,147059,147464,148449,
,GAFO(1),54718,55394,55749,56539,56719,56605,56808,57195,57640,58106,57642,58260,
441,Motor vehicle and parts dealers,50349,52288,52348,51531,52200,51798,52004,51472,53184,53450,52710,52835,
"4411,4412",Automobile and other motor vehicle dealers,45865,47731,47809,46962,47604,47172,47359,46899,48567,48718,48006,48069,
4413,"Automotive parts, acc., and tire stores",4484,4557,4539,4569,4596,4626,4645,4573,4617,4732,4704,4766,
"442,443","Furniture, home furn, electronics, and appliance stores",11493,11594,11931,11968,12014,12012,11930,11995,12200,12207,12124,12051,
442,Furniture and home furnishings stores,5302,5346,5566,5595,5586,5678,5696,5655,5762,5779,5768,5746,
443,Electronics and appliance stores,6191,6248,6365,6373,6428,6334,6234,6340,6438,6428,6356,6305,
444,Building mat. and garden equip. and supplies dealers,14023,14036,14153,14340,14450,14902,14826,14981,14989,15040,15264,14980,
4441,Building mat. and supplies dealers,11979,11967,12134,12190,12350,12679,12590,12722,12728,12747,12964,12743,
445,Food and beverage stores,33085,32928,33076,33174,33178,33281,33470,33542,33494,33704,33734,33819,
