Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2009,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",310188,299412,328526,329854,347728,344405,348071,353392,324646,338610,339363,400281,4064476
,Retail sales and food services excl motor vehicle and parts,260095,249406,271393,273915,289996,284883,285771,287210,272523,283744,289339,344429,3392704
,Retail sales and food services excl gasoline stations,283647,273792,300076,300417,314770,308460,311732,316412,290298,303585,305021,365032,3673242
,Retail sales and food services excl motor vehicle and parts and gasoline stations,233554,223786,242943,244478,257038,248938,249432,250230,238175,248719,254997,309180,3001470
,"Retail sales, total",273998,264465,290068,292041,307481,306050,308847,314505,288071,300360,303850,362735,3612471
,"Retail sales, total (excl. motor vehicle and parts dealers)",223905,214459,232935,236102,249749,246528,246547,248323,235948,245494,253826,306883,2940699
,GAFO(1),81348,80415,84735,84743,90415,85806,86616,92055,83173,88123,97840,132928,1088197
441,Motor vehicle and parts dealers,50093,50006,57133,55939,57732,59522,62300,66182,52123,54866,50024,55852,671772
"4411,4412",Automobile and other motor vehicle dealers,44342,44283,50742,49549,51414,52877,55733,59811,46011,48457,44357,49970,597546
4411,Automobile dealers,41559,41331,46582,45093,46510,48096,51112,55695,42315,45284,41464,46955,551996
44111,New car dealers,36015,35243,40565,39441,41068,42442,45635,49947,37120,40085,36810,42194,486565
44112,Used car dealers,5544,6088,6017,5652,5442,5654,5477,5748,5195,5199,4654,4761,65431
4413,"Automotive parts, acc., and tire stores",5751,5723,6391,6390,6318,6645,6567,6371,6112,6409,5667,5882,74226
"442,443","Furniture, home furn, electronics, and appliance stores",15200,14721,14504,13538,14294,14495,14737,14991,14215,13926,16806,21221,182648
442,Furniture and home furnishings stores,6796,6593,6907,6608,6974,6922,7194,7159,6967,6853,7375,8401,84749
4421,Furniture stores,3842,3914,3851,3574,3844,3703,3803,3939,3827,3723,3848,3942,45810
