Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2009,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009,TOTAL
4422,Home furnishings stores,2954,2679,3056,3034,3130,3219,3391,3220,3140,3130,3527,4459,38939
44221,Floor covering stores,1182,1138,1230,1256,1247,1422,1441,1338,1319,1304,1215,1210,15302
442299,All other home furnishings stores,1667,1447,1714,1672,1786,1699,1848,1795,1730,1732,2222,3156,22468
443,Electronics and appliance stores,8404,8128,7597,6930,7320,7573,7543,7832,7248,7073,9431,12820,97899
443141,Household appliance stores,1258,1153,1194,1194,1253,1280,1303,1307,1203,1257,1398,1489,15289
443142,Electronics stores,7146,6975,6403,5736,6067,6293,6240,6525,6045,5816,8033,11331,82610
444,Building mat. and garden equip. and supplies dealers,17600,17064,21503,24970,26952,26356,24004,21522,21302,21265,19916,19183,261637
4441,Building mat. and supplies dealers,15702,15177,18571,20626,22160,22043,21029,19344,19376,19076,17562,16808,227474
44412,Paint and wallpaper stores,560,558,656,713,707,787,798,747,718,668,561,483,7956
44413,Hardware stores,1341,1226,1494,1727,1954,1759,1597,1516,1450,1540,1452,1611,18667
445,Food and beverage stores,47103,42602,45731,46450,49142,46954,48915,47863,46219,47895,47405,52139,568418
4451,Grocery stores,42942,38522,41312,41781,44034,42147,43839,42995,41538,43020,42508,45395,510033
44511,Supermarkets and other grocery (except convenience) stores,41365,36975,39627,40084,42227,40312,41970,41155,39768,41222,40753,43570,489028
4453,"Beer, wine, and liquor stores",2913,2781,3024,3130,3467,3307,3555,3399,3263,3425,3356,4625,40245
446,Health and personal care stores,20691,19840,21535,21059,21079,20971,20838,20585,20615,21342,20607,23632,252794
44611,Pharmacies and drug stores,17741,17028,18501,18226,18146,17944,17957,17604,17770,18492,17784,20067,217260
447,Gasoline stations,26541,25620,28450,29437,32958,35945,36339,36980,34348,35025,34342,35249,391234
448,Clothing and clothing access. stores,13387,14684,15563,16337,17264,15434,16007,17656,15630,17053,18332,27128,204475
4481,Clothing stores,10122,10514,11758,12320,12752,11535,12045,12967,11762,13022,13840,18733,151370
44811,Men's clothing stores,524,496,542,669,650,607,575,551,579,610,620,930,7353
44812,Women's clothing stores,2285,2424,2953,3264,3280,2894,2716,2942,2939,3095,3189,4074,36055
44814,Family clothing stores,5332,5621,6092,6246,6526,5990,6586,7185,6067,7031,7670,10578,80924
44819,Other clothing stores,936,859,921,914,989,932,901,865,819,914,955,1351,11356
4482,Shoe stores,1682,1945,2056,2141,2116,1903,2050,2715,1972,2064,2100,2902,25646
44831,Jewelry stores,1472,2110,1621,1755,2241,1832,1754,1824,1766,1827,2236,5260,25698
451,"Sporting goods, hobby, musical instrument, and book stores",6428,5071,5718,5693,5982,6130,6029,7503,6205,5594,6496,10829,77678
45111,Sporting goods stores,2442,2347,2894,2959,3119,3290,3209,3418,2779,2571,2788,4758,36574
45112,"Hobby, toy, and game stores",1034,1012,1099,1089,1068,1025,1062,1011,1067,1200,1850,3013,15530
451211,Book stores,2189,970,945,913,1053,1040,1038,2296,1522,960,965,1911,15802
452,General merchandise stores,43461,43283,46336,46602,50065,47088,47096,48826,44201,48508,53487,69965,588918
4521,Department stores,12651,12869,14058,14575,15380,14202,14171,15338,13506,14973,18276,26584,186583
452111,Department stores(excl. discount department stores),3988,4313,4655,4976,5242,4647,4537,4994,4628,5100,6432,9828,63340
452112,Discount dept. stores,8663,8556,9403,9599,10138,9555,9634,10344,8878,9873,11844,16756,123243
4529,Other general merchandise stores,30810,30414,32278,32027,34685,32886,32925,33488,30695,33535,35211,43381,402335
45291,Warehouse clubs and superstores,27629,26999,28551,28168,30580,29009,29108,29741,26931,29427,30786,37600,354529
45299,All other gen. merchandise stores,3181,3415,3727,3859,4105,3877,3817,3747,3764,4108,4425,5781,47806
453,Miscellaneous store retailers,7624,7784,8238,8258,8883,8870,8486,8374,8396,8705,8070,10057,101745
4532,"Office supplies, stationery, and gift stores",2872,2656,2614,2573,2810,2659,2747,3079,2922,3042,2719,3785,34478
45321,Office supplies and stationery stores,1924,1607,1600,1449,1421,1405,1469,1903,1745,1558,1480,1836,19397
45322,"Gift, novelty, and souvenir stores",948,1049,1014,1124,1389,1254,1278,1176,1177,1484,1239,1949,15081
45330,Used merchandise stores,805,894,971,927,860,860,874,892,925,983,903,978,10872
454,Nonstore retailers,25870,23790,25357,23758,23130,24285,24096,24023,24817,26181,28365,37480,311152
4541,Electronic shopping and mail-order houses,18178,16779,18458,17894,17773,18638,18569,18697,19164,19739,22000,29736,235625
45431,Fuel dealers,4584,3707,3270,2310,1895,1970,1843,1868,2067,2694,3002,4249,33459
722,Food services and drinking places,36190,34947,38458,37813,40247,38355,39224,38887,36575,38250,35513,37546,452005
7224,Drinking places,1593,1522,1764,1665,1750,1728,1782,1678,1605,1692,1559,1628,19966
7225,Restaurants and other eating places,31486,30307,33287,32410,34642,33019,33932,33681,30801,32351,30383,32427,388726
722511,Full service restaurants,16166,15371,16789,16076,17294,16248,16704,16634,15219,16098,14959,16289,193847
"722513, 722514, 722515",Limited service eating places,15320,14936,16498,16334,17348,16771,17228,17047,15582,16253,15424,16138,194879
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",336929,335576,329747,331352,334256,339883,340517,346668,338507,341654,344375,346072,
,Retail sales and food services excl motor vehicle and parts,281139,281388,276647,277795,280167,283272,282769,284405,284973,285185,287020,288993,
,Retail sales and food services excl gasoline stations,308111,305716,300922,302605,303768,306508,307451,312010,303707,306769,307802,308890,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,252321,251528,247822,249048,249679,249897,249703,249747,250173,250300,250447,251811,
,"Retail sales, total",298673,297631,292300,293614,296501,302169,302802,309023,301033,304154,306675,308413,
,"Retail sales, total (excl. motor vehicle and parts dealers)",242883,243443,239200,240057,242412,245558,245054,246760,247499,247685,249320,251334,
,GAFO(1),92371,92204,89714,90339,90634,90108,90162,90634,90707,91126,90546,91166,
441,Motor vehicle and parts dealers,55790,54188,53100,53557,54089,56611,57748,62263,53534,56469,57355,57079,
"4411,4412",Automobile and other motor vehicle dealers,49379,47822,46853,47280,47827,50407,51605,56161,47483,50371,51339,50990,
4413,"Automotive parts, acc., and tire stores",6411,6366,6247,6277,6262,6204,6143,6102,6051,6098,6016,6089,
"442,443","Furniture, home furn, electronics, and appliance stores",16247,16129,15140,15116,15113,15131,15004,14991,14946,14835,15199,15092,
442,Furniture and home furnishings stores,7363,7285,7041,7067,7087,7092,7039,6991,6981,6915,6991,7024,
443,Electronics and appliance stores,8884,8844,8099,8049,8026,8039,7965,8000,7965,7920,8208,8068,
444,Building mat. and garden equip. and supplies dealers,22758,22498,22149,22092,22310,22332,21883,21474,21363,20661,20931,20849,
4441,Building mat. and supplies dealers,19652,19508,19145,19098,19337,19218,18911,18872,18922,18325,18313,18210,
445,Food and beverage stores,47639,46928,46912,47133,47219,47350,47330,47309,47559,47603,47689,48134,
4451,Grocery stores,42771,42101,42069,42288,42300,42530,42480,42401,42691,42763,42808,43192,
4453,"Beer, wine and liquor stores",3375,3311,3327,3323,3366,3300,3335,3389,3367,3378,3363,3431,
446,Health and personal care stores,20753,20906,20908,21059,21121,21055,21027,21070,21231,21278,21288,21195,
44611,Pharmacies and drug stores,17653,17943,18015,18190,18164,18070,18102,18055,18320,18309,18315,18193,
447,Gasoline stations,28818,29860,28825,28747,30488,33375,33066,34658,34800,34885,36573,37182,
448,Clothing and clothing access. stores,17159,17401,16510,16900,17038,16817,17015,17233,17172,17296,17105,17127,
4481,Clothing stores,12812,12955,12211,12506,12651,12390,12596,12760,12675,12884,12639,12601,
44811,Men's clothing stores,642,636,607,645,627,614,639,608,616,592,585,583,
44812,Women's clothing stores,2960,2978,2915,3042,3031,2996,2988,3103,3049,3058,3017,2974,
4482,Shoe stores,2118,2152,2100,2109,2103,2110,2131,2182,2162,2150,2134,2182,
44831,Jewelry stores,2088,2151,2060,2148,2132,2148,2136,2138,2186,2119,2188,2201,
451,"Sporting goods, hobby, musical instrument, and book stores",6661,6535,6360,6514,6453,6473,6455,6628,6484,6408,6307,6523,
452,General merchandise stores,49288,49199,48840,48887,49085,48792,48812,48934,49220,49725,49156,49657,
4521,Department stores,15861,15627,15532,15638,15727,15427,15493,15539,15493,15620,15482,15459,
4529,Other general merchandise stores,33427,33572,33308,33249,33358,33365,33319,33395,33727,34105,33674,34198,
45291,Warehouse clubs and superstores,29613,29669,29434,29311,29376,29421,29372,29417,29627,29997,29573,30104,
45299,All other gen. merchandise stores,3814,3903,3874,3938,3982,3944,3947,3978,4100,4108,4101,4094,
453,Miscellaneous stores retailers,8511,8746,8615,8677,8426,8465,8352,8313,8385,8360,8406,8591,
454,Nonstore retailers,25049,25241,24941,24932,25159,25768,26110,26150,26339,26634,26666,26984,
4541,Electronic shopping and mail order houses,18702,18832,18701,18816,19070,19455,19839,19933,20151,20204,20389,20550,
45431,Fuel dealers,2890,2762,2720,2625,2599,2771,2659,2731,2713,2884,2835,3011,
722,Food services and drinking places,38256,37945,37447,37738,37755,37714,37715,37645,37474,37500,37700,37659,
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
