Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2020,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",480301,478467,478267,407227,504607,532678,549416,545307,530987,553114,543273,611429,6215073
,Retail sales and food services excl motor vehicle and parts,386934,380639,395880,337693,397245,418450,433183,429379,417929,438435,440053,494937,4970757
,Retail sales and food services excl gasoline stations,440605,441504,444006,380417,472562,496364,510540,506577,493756,514953,508879,574794,5784957
,Retail sales and food services excl motor vehicle and parts and gasoline stations,347238,343676,361619,310883,365200,382136,394307,390649,380698,400274,405659,458302,4540641
,"Retail sales, total",418734,415511,430527,377210,462286,481205,494905,488949,476247,495722,492362,559932,5593590
,"Retail sales, total (excl. motor vehicle and parts dealers)",325367,317683,348140,307676,354924,366977,378672,373021,363189,381043,389142,443440,4349274
,GAFO(1),94549,97552,95501,68637,91042,102574,106664,109556,104834,111528,117962,144871,1245270
441,Motor vehicle and parts dealers,93367,97828,82387,69534,107362,114228,116233,115928,113058,114679,103220,116492,1244316
"4411,4412",Automobile and other motor vehicle dealers,85832,90586,74904,62554,98852,104941,107082,106956,104451,105948,95304,108612,1146022
4411,Automobile dealers,81214,85140,68937,56635,88480,93559,97104,98206,96980,98478,89223,101956,1055912
44111,New car dealers,72074,74360,59487,50131,77773,81593,84691,86015,85909,87522,79269,92388,931212
44112,Used car dealers,9140,10780,9450,6504,10707,11966,12413,12191,11071,10956,9954,9568,124700
4413,"Automotive parts, acc., and tire stores",7535,7242,7483,6980,8510,9287,9151,8972,8607,8731,7916,7880,98294
"442,443","Furniture, home furn, electronics, and appliance stores",16569,16139,13975,7017,11301,15601,17180,17856,17530,17979,19483,21613,192243
442,Furniture and home furnishings stores,9490,9452,8159,3977,7349,9993,10625,11017,11071,11114,11187,12129,115563
4421,Furniture stores,5148,5287,4499,2004,4259,5730,5957,5847,6112,6053,5894,6153,62943
4422,Home furnishings stores,4342,4165,3660,1973,3090,4263,4668,5170,4959,(S),(S),(S),
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
442299,All other home furnishings stores,2422,2211,1525,403,1276,2102,2440,2647,2506,(S),(S),(S),
443,Electronics and appliance stores,7079,6687,5816,3040,3952,5608,6555,6839,6459,6865,8296,9484,76680
443141,Household appliance stores,1230,1234,1283,1128,1441,1681,1731,1747,1665,1722,1705,1763,18330
443142,Electronics stores,5849,5453,4533,1912,2511,3927,4824,5092,4794,5143,6591,7721,58350
444,Building mat. and garden equip. and supplies dealers,26966,26237,32152,35916,42422,42092,39430,36664,36930,37582,34662,34524,425577
4441,Building mat. and supplies dealers,23709,23025,27984,30023,35986,36397,34870,32612,32647,33018,30633,30123,371027
44412,Paint and wallpaper stores,928,920,1085,947,1092,1240,1271,1216,1225,1208,1012,945,13089
44413,Hardware stores,2059,1954,2372,2839,3495,3350,3028,2891,2760,2763,2553,2795,32859
445,Food and beverage stores,64567,61962,80990,71064,76438,71799,75085,72353,69741,71957,71879,77260,865095
4451,Grocery stores,58722,55870,73901,64383,68436,63973,66892,64500,62100,64017,63920,67027,773741
44511,Supermarkets and other grocery (except convenience) stores,56141,53306,71296,62127,65735,61229,63980,61571,59353,61259,61341,64236,741574
4453,"Beer, wine, and liquor stores",4188,4318,5249,4938,5950,5780,6106,5813,5582,5766,5796,7366,66852
446,Health and personal care stores,28987,27756,30888,25724,26251,28279,29573,28918,29462,30630,28575,33670,348713
44611,Pharmacies and drug stores,24440,23183,26974,23910,23648,24655,25460,24757,25237,26435,24294,27862,300855
447,Gasoline stations,39696,36963,34261,26810,32045,36314,38876,38730,37231,38161,34394,36635,430116
448,Clothing and clothing access. stores,16873,19232,10969,2744,8787,16442,17779,18968,18790,20088,21287,32237,204196
4481,Clothing stores,12287,13439,7584,1736,5504,11080,12098,12933,12912,14165,15038,19983,138759
44811,Men's clothing stores,599,615,302,86,155,303,405,379,401,(S),(S),604,
44812,Women's clothing stores,2402,2662,1493,469,1099,2027,2373,2386,2494,2634,2726,3399,26164
44814,Family clothing stores,6899,7535,4259,688,3089,6955,7077,7768,7561,8520,8976,12137,81464
44819,Other clothing stores,1225,1344,788,248,569,946,1156,1158,1150,1171,1331,1685,12771
4482,Shoe stores,2148,2701,1686,462,1624,2692,2722,2822,2643,2677,2617,3824,28618
44831,Jewelry stores,2141,2751,1505,511,1557,2452,2679,2877,2882,2872,3245,7824,33296
451,"Sporting goods, hobby, musical instrument, and book stores",5867,5632,5287,3484,6353,8390,8011,8218,7794,7657,8368,11319,86380
45111,Sporting goods stores,2984,3107,3452,2599,4378,5887,5435,5163,4803,4684,4620,6799,53911
45112,"Hobby, toy, and game stores",1174,1200,862,360,1120,1420,1409,1508,1582,1674,2412,2617,17338
451211,Book stores,990,593,406,169,275,388,437,770,620,455,496,900,6499
452,General merchandise stores,53203,54596,63624,54576,63381,60501,61674,62304,58567,63203,66964,77086,739679
4521,Department stores,8479,9067,8158,5941,8768,9047,9384,9879,9182,9733,11235,14624,113497
452111,Department stores(excl. discount department stores),2146,2473,1305,11,1049,1524,1591,1739,1786,1913,2357,3492,21386
452112,Discount dept. stores,6333,6594,6853,5930,7719,7523,7793,8140,7396,7820,8878,11132,92111
4529,Other general merchandise stores,44724,45529,55466,48635,54613,51454,52290,52425,49385,53470,55729,62462,626182
45291,Warehouse clubs and superstores,38811,39451,47739,41322,46287,43615,44706,45080,42093,45714,47744,53210,535772
45299,All other gen. merchandise stores,5913,6078,7727,7313,8326,7839,7584,7345,7292,7756,7985,9252,90410
453,Miscellaneous store retailers,10394,10302,9580,7319,9812,11544,11992,11842,11604,12400,11988,13939,132716
4532,"Office supplies, stationery, and gift stores",2037,1953,1646,816,1220,1640,2020,2210,2153,2601,1860,2616,22772
45321,Office supplies and stationery stores,963,816,868,605,707,780,869,1105,968,800,724,912,10117
45322,"Gift, novelty, and souvenir stores",1074,1137,778,211,513,860,1151,1105,1185,1801,1136,1704,12655
45330,Used merchandise stores,1501,1551,1028,420,882,1246,1300,1491,1357,1607,1537,1465,15385
454,Nonstore retailers,62245,58864,66414,73022,78134,76015,79072,77168,75540,81386,91542,105157,924559
4541,Electronic shopping and mail-order houses,53485,50716,58622,67339,72558,69954,72123,70505,68425,73023,83769,96203,836722
45431,Fuel dealers,4240,3565,3016,2069,1741,1577,1603,1630,1885,2262,2563,3723,29874
722,Food services and drinking places,61567,62956,47740,30017,42321,51473,54511,56358,54740,57392,50911,51497,621483
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
7225,Restaurants and other eating places,54131,54911,42238,27674,39803,48350,51178,52457,50423,52829,46984,47987,568965
722511,Full service restaurants,27018,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
"722513, 722514, 722515",Limited service eating places,27113,27062,24159,20001,26498,28789,30214,30013,28743,29950,27249,28640,328431
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",526930,525810,480593,410120,484339,526860,534295,538646,549528,550038,542583,535972,
,Retail sales and food services excl motor vehicle and parts,421768,420290,402547,341922,383397,416286,424649,428451,435154,435791,430381,421525,
,Retail sales and food services excl gasoline stations,483735,484185,445986,383964,454940,492602,498131,502143,512519,512844,506110,496874,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,378573,378665,367940,315766,353998,382028,388485,391948,398145,398597,393908,382427,
,"Retail sales, total",460586,459610,434467,380193,444897,476347,481627,483716,493327,493991,488652,484782,
,"Retail sales, total (excl. motor vehicle and parts dealers)",355424,354090,356421,311995,343955,365773,371981,373521,378953,379744,376450,370335,
,GAFO(1),110605,110253,99049,72279,89127,106140,107240,107116,112966,111682,108932,107735,
441,Motor vehicle and parts dealers,105162,105520,78046,68198,100942,110574,109646,110195,114374,114247,112202,114447,
"4411,4412",Automobile and other motor vehicle dealers,97095,97614,70865,61388,92558,101687,101021,101476,105827,105948,103930,106170,
4413,"Automotive parts, acc., and tire stores",8067,7906,7181,6810,8384,8887,8625,8719,8547,8299,8272,8277,
"442,443","Furniture, home furn, electronics, and appliance stores",17942,17837,14360,7683,11621,16108,17327,17798,17729,17978,17556,17077,
