Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2000,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2000,Feb. 2000,Mar. 2000,Apr. 2000,May 2000,Jun. 2000,Jul. 2000,Aug. 2000,Sep. 2000,Oct. 2000,Nov. 2000,Dec. 2000,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",236422,250580,279515,264417,283706,281288,271146,283944,269155,270899,276507,319958,3287537
,Retail sales and food services excl motor vehicle and parts,177649,183688,204448,198431,210656,208286,203886,212094,203320,207094,218058,263717,2491327
,Retail sales and food services excl gasoline stations,218729,232286,258696,244649,262492,259046,248882,261806,247487,249187,255609,298852,3037721
,Retail sales and food services excl motor vehicle and parts and gasoline stations,159956,165394,183629,178663,189442,186044,181622,189956,181652,185382,197160,242611,2241511
,"Retail sales, total",213709,227087,253717,239051,257581,255066,244445,257487,243624,245167,252145,294197,2983276
,"Retail sales, total (excl. motor vehicle and parts dealers)",154936,160195,178650,173065,184531,182064,177185,185637,177789,181362,193696,237956,2187066
,GAFO(1),57190,60334,67532,66185,69726,68326,66631,72694,67939,68835,81436,115911,862739
441,Motor vehicle and parts dealers,58773,66892,75067,65986,73050,73002,67260,71850,65835,63805,58449,56241,796210
"4411,4412",Automobile and other motor vehicle dealers,54082,62015,69456,60834,67449,67296,61915,66022,60378,58515,53412,51397,732771
4411,Automobile dealers,51413,58828,64815,56524,62467,62396,57942,62020,56972,55319,50547,48539,687782
44111,New car dealers,47032,53501,59381,51683,57481,57235,52953,56931,52112,50745,46458,44611,630123
44112,Used car dealers,4381,5327,5434,4841,4986,5161,4989,5089,4860,4574,4089,3928,57659
4413,"Automotive parts, acc., and tire stores",4691,4877,5611,5152,5601,5706,5345,5828,5457,5290,5037,4844,63439
"442,443","Furniture, home furn, electronics, and appliance stores",13840,14126,14999,13845,14614,14439,14417,15369,14546,14430,16344,20623,181592
442,Furniture and home furnishings stores,6638,6989,7622,7134,7635,7487,7508,7974,7535,7667,8346,8635,91170
4421,Furniture stores,3897,4072,4363,4032,4256,4175,4205,4340,4201,4157,4485,4434,50617
4422,Home furnishings stores,2741,2917,3259,3102,3379,3312,3303,3634,3334,3510,3861,4201,40553
44221,Floor covering stores,1370,1451,1709,1563,1719,1721,1606,1802,1650,1768,1710,1450,19519
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
443,Electronics and appliance stores,7202,7137,7377,6711,6979,6952,6909,7395,7011,6763,7998,11988,90422
443141,Household appliance stores,926,929,1013,962,1108,1119,1037,1088,1031,1045,1124,1248,12630
443142,Electronics stores,6276,6208,6364,5749,5871,5833,5872,6307,5980,5718,6874,10740,77792
444,Building mat. and garden equip. and supplies dealers,15381,16170,19956,20044,23003,21690,19639,20171,18751,19482,17816,16891,228994
4441,Building mat. and supplies dealers,13314,14047,17061,16665,18953,18499,17261,17919,16546,17228,15650,14506,197649
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
44413,Hardware stores,1071,1033,1312,1425,1593,1547,1440,1429,1324,1322,1303,1380,16179
445,Food and beverage stores,34190,33507,36459,36321,37627,37469,38160,37768,36768,36614,37629,42252,444764
4451,Grocery stores,31336,30515,33216,33004,34085,33880,34517,34225,33324,33190,33969,37254,402515
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
4453,"Beer, wine, and liquor stores",1920,1976,2190,2132,2357,2413,2463,2422,2358,2352,2549,3375,28507
446,Health and personal care stores,11960,12151,12957,12427,13237,12813,12526,13021,12598,13063,13047,15434,155234
44611,Pharmacies and drug stores,10071,10132,10818,10458,11110,10680,10520,10945,10587,11085,11105,13346,130857
447,Gasoline stations,17693,18294,20819,19768,21214,22242,22264,22138,21668,21712,20898,21106,249816
448,Clothing and clothing access. stores,9447,11170,12841,13124,13735,12953,12500,14610,13375,13369,15675,24875,167674
4481,Clothing stores,6683,7470,9283,9420,9496,9156,8872,10340,9683,9823,11492,16379,118097
44811,Men's clothing stores,635,611,707,759,770,750,719,789,751,787,897,1332,9507
44812,Women's clothing stores,1682,1991,2670,2706,2810,2564,2382,2640,2658,2648,2823,3873,31447
44814,Family clothing stores,3272,3627,4460,4525,4577,4527,4437,5183,4672,4859,6082,8692,58913
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
4482,Shoe stores,1396,1587,1901,2005,1962,1878,1849,2363,1855,1737,1857,2485,22875
44831,Jewelry stores,1244,1979,1500,1560,2126,1771,1632,1757,1694,1670,2159,5729,24821
451,"Sporting goods, hobby, musical instrument, and book stores",4698,4527,5122,4937,5239,5345,5174,5892,5533,4934,6126,10065,67592
45111,Sporting goods stores,1591,1681,2065,1991,2187,2319,2237,2257,2007,1725,1939,3309,25308
45112,"Hobby, toy, and game stores",893,1002,1106,1136,1072,1098,1124,1132,1175,1285,2161,3763,16947
451211,Book stores,1505,1090,1031,975,1104,1122,1048,1594,1406,1014,1098,1892,14879
452,General merchandise stores,25958,27165,31168,31170,32968,32516,31535,33283,31125,32672,39623,55045,404228
4521,Department stores,14728,15413,17867,18184,18976,18156,17353,18742,17269,18016,23454,34317,232475
452111,Department stores(excl. discount department stores),5738,6335,7339,7351,7680,7180,6798,7651,7250,7478,9881,15601,96282
452112,Discount dept. stores,8990,9078,10528,10833,11296,10976,10555,11091,10019,10538,13573,18716,136193
4529,Other general merchandise stores,11230,11752,13301,12986,13992,14360,14182,14541,13856,14656,16169,20728,171753
45291,Warehouse clubs and superstores,9180,9472,10742,10509,11339,11721,11587,11873,11343,11996,13143,16709,139614
45299,All other gen. merchandise stores,2050,2280,2559,2477,2653,2639,2595,2668,2513,2660,3026,4019,32139
453,Miscellaneous store retailers,7983,8873,9011,8336,9043,8810,8301,8971,8662,8769,8893,11067,106719
4532,"Office supplies, stationery, and gift stores",3247,3346,3402,3109,3170,3073,3005,3540,3360,3430,3668,5303,41653
45321,Office supplies and stationery stores,2098,1977,2029,1736,1766,1703,1611,2128,2019,1920,1767,1994,22748
45322,"Gift, novelty, and souvenir stores",1149,1369,1373,1373,1404,1370,1394,1412,1341,1510,1901,3309,18905
45330,Used merchandise stores,682,872,852,812,818,762,864,850,755,769,812,984,9832
454,Nonstore retailers,13786,14212,15318,13093,13851,13787,12669,14414,14763,16317,17645,20598,180453
4541,Electronic shopping and mail-order houses,8087,8074,9425,8409,8692,8865,8229,9297,9442,10324,11388,13558,113790
45431,Fuel dealers,2920,2988,2289,1741,1704,1593,1471,1723,1963,2250,2458,3592,26692
722,Food services and drinking places,22713,23493,25798,25366,26125,26222,26701,26457,25531,25732,24362,25761,304261
7224,Drinking places,1196,1251,1414,1291,1293,1289,1320,1313,1265,1233,1187,1278,15330
7225,Restaurants and other eating places,19529,20158,22082,21836,22364,22510,22983,22724,21790,22051,20967,22104,261098
722511,Full service restaurants,10045,10482,11410,11187,11339,11279,11695,11527,11205,11395,10693,11322,133579
"722513, 722514, 722515",Limited service eating places,9484,9676,10672,10649,11025,11231,11288,11197,10585,10656,10274,10782,127519
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",268044,272020,275192,271046,271394,273422,272630,272918,277548,276927,276029,275791,
,Retail sales and food services excl motor vehicle and parts,200365,202935,206759,205234,205613,206784,207425,207607,210698,210719,211384,212267,
,Retail sales and food services excl gasoline stations,248686,251806,254373,251139,251152,252537,251725,252344,256221,255515,254123,253667,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,181007,182721,185940,185327,185371,185899,186520,187033,189371,189307,189478,190143,
,"Retail sales, total",243436,247133,249825,245831,246201,248160,247176,247576,251837,251221,250331,250658,
,"Retail sales, total (excl. motor vehicle and parts dealers)",175757,178048,181392,180019,180420,181522,181971,182265,184987,185013,185686,187134,
,GAFO(1),69301,70315,71353,71448,71848,71416,71720,72071,72972,72800,72823,72269,
441,Motor vehicle and parts dealers,67679,69085,68433,65812,65781,66638,65205,65311,66850,66208,64645,63524,
"4411,4412",Automobile and other motor vehicle dealers,62306,63801,63027,60592,60492,61345,59995,60075,61360,61017,59479,58207,
4413,"Automotive parts, acc., and tire stores",5373,5284,5406,5220,5289,5293,5210,5236,5490,5191,5166,5317,
"442,443","Furniture, home furn, electronics, and appliance stores",15089,15222,15251,15542,15284,15028,15145,15122,15253,15153,14972,14506,
442,Furniture and home furnishings stores,7484,7548,7599,7729,7673,7593,7748,7682,7665,7737,7580,7160,
443,Electronics and appliance stores,7605,7674,7652,7813,7611,7435,7397,7440,7588,7416,7392,7346,
444,Building mat. and garden equip. and supplies dealers,19613,19193,20175,18986,18941,18878,18982,18951,18926,18965,18689,19356,
4441,Building mat. and supplies dealers,16789,16429,17268,16500,16510,16414,16502,16305,16253,16392,16018,16447,
445,Food and beverage stores,35613,35980,36559,37008,36717,37175,37038,37110,37308,37476,37700,38033,
4451,Grocery stores,32239,32567,33117,33541,33221,33644,33479,33554,33729,33867,34071,34558,
4453,"Beer, wine and liquor stores",2259,2290,2327,2297,2355,2384,2401,2417,2416,2450,2475,2344,
446,Health and personal care stores,12381,12386,12580,12733,12814,12864,12967,13034,13233,13302,13340,13527,
44611,Pharmacies and drug stores,10350,10265,10544,10704,10766,10799,10947,11022,11132,11242,11286,11759,
447,Gasoline stations,19358,20214,20819,19907,20242,20885,20905,20574,21327,21412,21906,22124,
448,Clothing and clothing access. stores,13301,13532,13818,13801,14027,13864,13722,14072,14366,14231,14294,14084,
4481,Clothing stores,9267,9445,9750,9700,9858,9738,9594,9902,10119,10049,10173,9978,
44811,Men's clothing stores,786,786,800,791,800,777,808,787,807,791,788,778,
44812,Women's clothing stores,2323,2434,2654,2587,2669,2638,2647,2680,2729,2699,2673,2608,
4482,Shoe stores,1881,1885,1911,1900,1899,1889,1868,1918,1940,1921,1928,1888,
44831,Jewelry stores,1997,2044,1992,2039,2109,2081,2100,2097,2152,2103,2039,2071,
451,"Sporting goods, hobby, musical instrument, and book stores",5232,5541,5635,5649,5757,5686,5800,5633,5728,5626,5615,5601,
452,General merchandise stores,32179,32576,33105,32879,33339,33408,33586,33823,34146,34280,34458,34734,
4521,Department stores,19204,19158,19227,19208,19397,19217,19132,19203,19362,19319,19529,19677,
4529,Other general merchandise stores,12975,13418,13878,13671,13942,14191,14454,14620,14784,14961,14929,15057,
45291,Warehouse clubs and superstores,10373,10764,11201,11039,11294,11525,11728,11909,12041,12266,12249,12395,
45299,All other gen. merchandise stores,2602,2654,2677,2632,2648,2666,2726,2711,2743,2695,2680,2662,
453,Miscellaneous stores retailers,9136,9163,9189,9056,8760,8785,8789,8666,8925,8870,8829,8631,
454,Nonstore retailers,13855,14241,14261,14458,14539,14949,15037,15280,15775,15698,15883,16538,
4541,Electronic shopping and mail order houses,8743,8786,9133,9343,9026,9391,9502,9634,9856,9917,10069,10318,
45431,Fuel dealers,1929,2191,1855,2017,2152,2222,2236,2279,2475,2356,2370,2789,
722,Food services and drinking places,24608,24887,25367,25215,25193,25262,25454,25342,25711,25706,25698,25133,
,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
