Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",335587,337314,387088,380775,391999,388700,384682,394609,375025,379482,391220,451821,4598302
,Retail sales and food services excl motor vehicle and parts,277706,274739,311920,311233,322722,318499,315504,323314,308069,313569,327252,380837,3785364
,Retail sales and food services excl gasoline stations,297569,300645,342739,334922,343754,341186,336482,346289,329582,334367,348244,409066,4064845
,Retail sales and food services excl motor vehicle and parts and gasoline stations,239688,238070,267571,265380,274477,270985,267304,274994,262626,268454,284276,338082,3251907
,"Retail sales, total",298626,299920,345052,339014,348979,346620,341381,352224,333642,337067,351517,408910,4102952
,"Retail sales, total (excl. motor vehicle and parts dealers)",240745,237345,269884,269472,279702,276419,272203,280929,266686,271154,287549,337926,3290014
,GAFO(1),80468,83815,92506,91906,93667,92488,92485,97416,90746,92528,106010,141631,1155666
441,Motor vehicle and parts dealers,57881,62575,75168,69542,69277,70201,69178,71295,66956,65913,63968,70984,812938
"4411,4412",Automobile and other motor vehicle dealers,52158,56531,67947,62778,62333,62666,62092,63556,59708,58769,57102,64334,729974
4411,Automobile dealers,49715,53613,63613,58223,57538,57741,57556,59357,56243,55583,54192,61131,684505
44111,New car dealers,43739,46318,55952,51777,51278,51281,51208,52919,50292,49873,48662,55489,608788
44112,Used car dealers,5976,7295,7661,6446,6260,6460,6348,6438,5951,5710,5530,5642,75717
4413,"Automotive parts, acc., and tire stores",5723,6044,7221,6764,6944,7535,7086,7739,7248,7144,6866,6650,82964
"442,443","Furniture, home furn, electronics, and appliance stores",13829,14276,15727,14231,14711,14913,15276,16145,15221,14865,18124,22246,189564
442,Furniture and home furnishings stores,6244,6488,7530,6896,7086,7039,7241,7685,7450,6967,7931,9029,87586
4421,Furniture stores,3576,3871,4304,3902,3861,3792,4002,4132,4051,3741,4126,4300,47658
4422,Home furnishings stores,2668,2617,3226,2994,3225,3247,3239,3553,3399,3226,3805,4729,39928
44221,Floor covering stores,947,959,1211,1127,1261,1295,1271,1472,1395,1302,1263,1255,14758
442299,All other home furnishings stores,1629,1564,1907,1783,1874,1869,1886,1989,1907,1828,2451,3393,24080
443,Electronics and appliance stores,7585,7788,8197,7335,7625,7874,8035,8460,7771,7898,10193,13217,101978
443141,Household appliance stores,1077,1141,1215,1181,1274,1314,1334,1360,1383,1277,1612,1639,15807
443142,Electronics stores,6508,6647,6982,6154,6351,6560,6701,7100,6388,6621,8581,11578,86171
444,Building mat. and garden equip. and supplies dealers,16004,16002,21963,24378,27713,27011,23528,23730,22499,23077,22372,21203,269480
4441,Building mat. and supplies dealers,14265,14196,18974,20310,22769,22556,20828,21167,20054,19992,19415,18123,232649
44412,Paint and wallpaper stores,510,533,685,704,708,853,801,862,791,740,667,569,8423
44413,Hardware stores,1322,1240,1498,1747,2033,1918,1759,1779,1626,1705,1694,1720,20041
445,Food and beverage stores,48438,45575,49729,50588,51441,51040,52522,51575,49925,50887,51352,56065,609137
4451,Grocery stores,44282,41229,45068,45586,46318,45883,47171,46448,44877,45725,46046,48843,547476
44511,Supermarkets and other grocery (except convenience) stores,42501,39485,43103,43535,44129,43716,44937,44275,42867,43751,44156,46916,523371
4453,"Beer, wine, and liquor stores",2888,2984,3249,3363,3471,3551,3740,3576,3517,3515,3646,4892,42392
446,Health and personal care stores,22218,21284,23623,22246,22766,22381,21864,22982,22173,22510,22326,25239,271612
