Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2018,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,TOTAL
445,Food and beverage stores,61935,62026,62166,62516,62516,62350,62713,62510,62813,63056,63138,62979,
4451,Grocery stores,55465,55520,55631,55999,55953,55828,56158,56007,56203,56414,56478,56359,
4453,"Beer, wine and liquor stores",4520,4520,4564,4573,4601,4575,4600,4556,4629,4638,4669,4664,
446,Health and personal care stores,27671,27510,27674,27937,28309,28076,28258,28533,28319,28555,29077,27944,
44611,Pharmacies and drug stores,23053,22704,22922,23096,23476,23192,23516,23756,23607,23740,23996,23088,
447,Gasoline stations,42760,43184,42612,42403,43525,43773,44174,44616,44089,45878,43722,40962,
448,Clothing and clothing access. stores,21848,22365,21697,22045,22855,22343,22698,22101,22112,22506,22535,22028,
4481,Clothing stores,15928,16343,15770,15959,16660,16161,16452,16147,16151,16339,16452,16044,
44811,Men's clothing stores,756,774,764,794,777,777,769,766,762,768,780,750,
44812,Women's clothing stores,3223,3273,3205,3295,3397,3283,3314,3330,3345,3423,3524,3251,
4482,Shoe stores,3004,3071,2950,3083,3180,3131,3262,3012,3085,3217,3208,3108,
44831,Jewelry stores,2660,2687,2710,2730,2748,2780,2715,2679,2615,2690,2609,2605,
451,"Sporting goods, hobby, musical instrument, and book stores",6879,7163,7237,7127,7138,6919,6673,6608,6503,6501,6579,6398,
452,General merchandise stores,58607,58670,58081,58423,59682,58687,58966,59202,58992,59355,59962,59257,
4521,Department stores,12158,12155,11500,12224,12389,11873,11942,11864,11674,11782,11771,11433,
4529,Other general merchandise stores,46449,46515,46581,46199,47293,46814,47024,47338,47318,47573,48191,47824,
45291,Warehouse clubs and superstores,40031,40114,40213,39859,40725,40385,40578,40817,40724,40924,41307,41133,
45299,All other gen. merchandise stores,6418,6401,6368,6340,6568,6429,6446,6521,6594,6649,6884,6691,
453,Miscellaneous stores retailers,10855,10807,10711,10651,10810,10763,10411,10625,10659,10907,10779,10558,
454,Nonstore retailers,54331,54637,55316,56131,55818,55751,56714,56948,57753,58219,60268,54472,
4541,Electronic shopping and mail order houses,46387,47272,47799,48196,48140,48339,49119,49458,50248,50461,52430,46816,
45431,Fuel dealers,3591,2757,2775,3188,2972,2934,3052,3004,3001,3175,3040,2847,
722,Food services and drinking places,59344,59653,60141,59415,60723,61440,62259,62635,61377,61972,61731,61790,
 ,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
