Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2012,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2012,Feb. 2012,Mar. 2012,Apr. 2012,May 2012,Jun. 2012,Jul. 2012,Aug. 2012,Sep. 2012,Oct. 2012,Nov. 2012,Dec. 2012,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",355184,372401,414149,392949,418608,400975,396026,417922,385609,399400,411065,462102,4826390
,Retail sales and food services excl motor vehicle and parts,292916,302072,332992,319458,338812,325021,320787,337194,314291,327099,341371,387883,3939896
,Retail sales and food services excl gasoline stations,313778,330183,365752,345285,369410,354492,349368,367727,338408,350417,366631,419520,4270971
,Retail sales and food services excl motor vehicle and parts and gasoline stations,251510,259854,284595,271794,289614,278538,274129,286999,267090,278116,296937,345301,3384477
,"Retail sales, total",315540,331470,368502,349194,373129,356083,351520,372986,342582,355823,368593,416807,4302229
,"Retail sales, total (excl. motor vehicle and parts dealers)",253272,261141,287345,275703,293333,280129,276281,292258,271264,283522,298899,342588,3415735
,GAFO(1),83395,91209,98747,91719,97833,95541,93547,101703,91915,93919,109571,142744,1191843
441,Motor vehicle and parts dealers,62268,70329,81157,73491,79796,75954,75239,80728,71318,72301,69694,74219,886494
"4411,4412",Automobile and other motor vehicle dealers,55945,63622,73814,66592,72489,68658,68005,73174,64468,64855,62875,67862,802359
4411,Automobile dealers,52985,60339,68793,61753,67056,63327,63359,68421,60834,61304,59785,64822,752778
44111,New car dealers,47096,52611,61036,54942,60389,56669,56948,61184,54451,54854,53618,58752,672550
44112,Used car dealers,5889,7728,7757,6811,6667,6658,6411,7237,6383,6450,6167,6070,80228
4413,"Automotive parts, acc., and tire stores",6323,6707,7343,6899,7307,7296,7234,7554,6850,7446,6819,6357,84135
"442,443","Furniture, home furn, electronics, and appliance stores",14698,15425,16291,14113,15638,15387,15741,16538,15265,14917,18661,22750,195424
442,Furniture and home furnishings stores,6866,7169,7784,6872,7683,7378,7551,8064,7439,7260,8260,9216,91542
4421,Furniture stores,3897,4325,4440,3799,4193,4075,4145,4370,4128,3792,4236,4352,49752
4422,Home furnishings stores,2969,2844,3344,3073,3490,3303,3406,3694,3311,3468,4024,4864,41790
44221,Floor covering stores,1108,1108,1274,1243,1398,1313,1287,1505,1287,1371,1331,1258,15483
442299,All other home furnishings stores,1780,1664,1980,1743,2000,1901,2007,2088,1933,1993,2589,3517,25195
443,Electronics and appliance stores,7832,8256,8507,7241,7955,8009,8190,8474,7826,7657,10401,13534,103882
443141,Household appliance stores,1170,1265,1325,1202,1400,1413,1374,1410,1305,1299,1639,1613,16415
443142,Electronics stores,6662,6991,7182,6039,6555,6596,6816,7064,6521,6358,8762,11921,87467
444,Building mat. and garden equip. and supplies dealers,17980,18500,24156,25989,29379,25774,23921,24169,22324,24658,23510,21173,281533
4441,Building mat. and supplies dealers,15941,16385,20492,21124,24075,22024,21113,21511,19607,21465,20399,18040,242176
44412,Paint and wallpaper stores,584,621,754,755,851,868,869,925,825,814,696,572,9134
44413,Hardware stores,1419,1359,1705,1917,2208,1934,1730,1699,1551,1752,1742,1731,20747
445,Food and beverage stores,49834,48850,52549,50842,53955,52702,52868,53442,51123,52236,52904,56900,628205
4451,Grocery stores,45462,44174,47408,45754,48420,47217,47473,48047,46047,46975,47310,49358,563645
44511,Supermarkets and other grocery (except convenience) stores,43576,42275,45239,43700,46239,45077,45349,45861,44017,44943,45440,47464,539180
4453,"Beer, wine, and liquor stores",2995,3202,3550,3409,3786,3816,3733,3752,3503,3626,3869,5124,44365
446,Health and personal care stores,22743,22608,23840,22607,23364,22022,22155,22968,21365,22842,22321,25165,274000
44611,Pharmacies and drug stores,19401,19056,19943,19050,19701,18426,18559,19168,17847,19468,18700,20632,229951
447,Gasoline stations,41406,42218,48397,47664,49198,46483,46658,50195,47201,48983,44434,42582,555419
448,Clothing and clothing access. stores,14358,17931,20162,18601,19952,18717,18266,20750,18391,18845,22016,31504,239493
4481,Clothing stores,10686,12618,15205,14003,14593,14035,13717,15157,13714,14247,16562,21594,176131
44811,Men's clothing stores,525,545,623,711,725,703,613,619,687,710,731,1080,8272
44812,Women's clothing stores,2544,3036,3840,3592,3693,3374,3094,3284,3339,3482,3823,4693,41794
44814,Family clothing stores,5211,6538,7878,7118,7499,7235,7434,8306,7018,7352,8995,12047,92631
44819,Other clothing stores,1039,1074,1229,1136,1155,1205,1049,1124,1045,1158,1252,1475,13941
4482,Shoe stores,1851,2545,2719,2480,2495,2339,2425,3299,2431,2328,2673,3454,31039
44831,Jewelry stores,1674,2607,2056,1953,2673,2146,1943,2115,2044,2060,2542,6049,29862
451,"Sporting goods, hobby, musical instrument, and book stores",6049,5520,6536,5967,6361,6600,6213,7682,6290,5845,7109,10987,81159
45111,Sporting goods stores,2505,2723,3607,3304,3455,3829,3551,3969,3161,2959,3478,5601,42142
45112,"Hobby, toy, and game stores",1072,1192,1270,1156,1186,1130,1123,1126,1158,1275,1945,2987,16620
451211,Book stores,1716,821,756,742,887,839,785,1836,1097,717,755,1318,12269
452,General merchandise stores,45643,49639,53115,50602,53095,52280,50734,53680,49325,51395,59008,73797,642313
4521,Department stores,11430,13169,14448,13579,14111,13909,13145,14710,13123,13482,17610,24597,177313
452111,Department stores(excl. discount department stores),3768,4551,4966,4906,5028,4807,4489,4886,4677,4662,6516,9705,62961
452112,Discount dept. stores,7662,8618,9482,8673,9083,9102,8656,9824,8446,8820,11094,14892,114352
4529,Other general merchandise stores,34213,36470,38667,37023,38984,38371,37589,38970,36202,37913,41398,49200,465000
45291,Warehouse clubs and superstores,30180,31989,33676,32346,33976,33616,32994,34261,31725,33048,36037,42461,406309
45299,All other gen. merchandise stores,4033,4481,4991,4677,5008,4755,4595,4709,4477,4865,5361,6739,58691
453,Miscellaneous store retailers,7969,8609,8963,8584,9725,9438,9146,9597,8885,9595,9078,10429,110018
4532,"Office supplies, stationery, and gift stores",2647,2694,2643,2436,2787,2557,2593,3053,2644,2917,2777,3706,33454
45321,Office supplies and stationery stores,1657,1503,1482,1268,1364,1254,1302,1816,1462,1375,1352,1566,17401
45322,"Gift, novelty, and souvenir stores",990,1191,1161,1168,1423,1303,1291,1237,1182,1542,1425,2140,16053
45330,Used merchandise stores,1108,1229,1286,1160,1214,1164,1180,1276,1225,1300,1262,1324,14728
454,Nonstore retailers,32592,31841,33336,30734,32666,30726,30579,33237,31095,34206,39858,47301,408171
4541,Electronic shopping and mail-order houses,24739,24201,25943,24432,26383,25035,25015,27379,25451,27483,32753,39841,328655
45431,Fuel dealers,4549,4053,3303,2592,2300,1998,2057,2259,2358,3023,3567,3876,35935
722,Food services and drinking places,39644,40931,45647,43755,45479,44892,44506,44936,43027,43577,42472,45295,524161
7224,Drinking places,1566,1633,1945,1758,1808,1870,1889,1907,1790,1720,1702,1833,21421
7225,Restaurants and other eating places,34564,35522,39577,37641,39103,38903,38988,39105,36535,37241,36533,39456,453168
722511,Full service restaurants,17566,18018,20112,18983,19572,19354,19330,19313,18164,18277,18199,20322,227210
"722513, 722514, 722515",Limited service eating places,16998,17504,19465,18658,19531,19549,19658,19792,18371,18964,18334,19134,225958
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",395720,400329,401661,400214,399331,395585,397567,402162,405555,405699,407396,409026,
,Retail sales and food services excl motor vehicle and parts,324000,327740,329010,327270,325692,323199,324442,328242,330360,330886,331558,332159,
,Retail sales and food services excl gasoline stations,349968,353158,354120,353208,353523,351939,354083,355771,358448,357723,360574,363140,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,278248,280569,281469,280264,279884,279553,280958,281851,283253,282910,284736,286273,
