Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2019,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL
452,General merchandise stores,59432,58756,59647,60161,59648,59693,60138,60073,59589,59869,59958,60259,
4521,Department stores,11469,11486,11416,11443,11430,11280,11380,11264,11098,11069,11044,10962,
4529,Other general merchandise stores,47963,47270,48231,48718,48218,48413,48758,48809,48491,48800,48914,49297,
45291,Warehouse clubs and superstores,41274,40681,41525,41936,41466,41668,42001,42061,41817,42116,42240,42597,
45299,All other gen. merchandise stores,6689,6589,6706,6782,6752,6745,6757,6748,6674,6684,6674,6700,
453,Miscellaneous stores retailers,10346,10455,10601,10829,10885,11001,10900,11199,11208,11397,11445,11211,
454,Nonstore retailers,60570,61022,60845,61862,63306,64217,64423,64972,64658,65294,64774,64552,
4541,Electronic shopping and mail order houses,52738,53365,53145,54225,55641,56317,56508,56956,56798,57426,56807,56720,
45431,Fuel dealers,2871,2891,3032,2918,2893,2970,2948,2925,2827,2842,3096,2819,
722,Food services and drinking places,61973,62631,63153,63617,64318,64984,65435,65333,65756,65628,65147,65807,
 ,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
