Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2019,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",456538,442274,513845,506920,544203,515269,528710,541951,493076,522195,532130,587471,6184582
,Retail sales and food services excl motor vehicle and parts,368649,352651,403490,403550,432418,410619,419527,427360,393464,418339,430888,483860,4944815
,Retail sales and food services excl gasoline stations,420099,406760,471780,462650,496816,470393,482318,496002,450325,477847,490706,546509,5672205
,Retail sales and food services excl motor vehicle and parts and gasoline stations,332210,317137,361425,359280,385031,365743,373135,381411,350713,373991,389464,442898,4432438
,"Retail sales, total",399461,384967,447155,442921,475897,448595,462097,473482,429556,456436,469003,521467,5411037
,"Retail sales, total (excl. motor vehicle and parts dealers)",311572,295344,336800,339551,364112,343945,352914,358891,329944,352580,367761,417856,4171270
,GAFO(1),91540,90967,106564,102978,110415,105867,107090,114131,100240,106921,121457,147773,1305943
441,Motor vehicle and parts dealers,87889,89623,110355,103370,111785,104650,109183,114591,99612,103856,101242,103611,1239767
"4411,4412",Automobile and other motor vehicle dealers,80625,82469,101927,95090,103213,96499,100703,105884,91758,95219,93303,96137,1142827
4411,Automobile dealers,76147,77461,94814,87537,94742,88523,93041,98738,85985,89711,88406,91579,1066684
44111,New car dealers,67012,67456,82564,76907,83937,78207,82550,88148,76300,79728,78776,82739,944324
44112,Used car dealers,9135,10005,12250,10630,10805,10316,10491,10590,9685,9983,9630,8840,122360
4413,"Automotive parts, acc., and tire stores",7264,7154,8428,8280,8572,8151,8480,8707,7854,8637,7939,7474,96940
"442,443","Furniture, home furn, electronics, and appliance stores",15980,15191,17210,16068,17408,16742,17358,18135,17239,17368,20279,22075,211053
442,Furniture and home furnishings stores,8818,8629,10018,9579,10296,9759,10188,10616,10116,10272,11037,11189,120517
4421,Furniture stores,4628,4616,5503,5065,5566,5335,5496,5705,5631,5432,5793,5438,64208
4422,Home furnishings stores,4190,4013,4515,4514,4730,4424,4692,4911,4485,4840,5244,5751,56309
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
442299,All other home furnishings stores,2246,2088,2353,2300,2480,2200,2454,2577,2305,2506,3083,3746,30338
443,Electronics and appliance stores,7162,6562,7192,6489,7112,6983,7170,7519,7123,7096,9242,10886,90536
443141,Household appliance stores,1198,1177,1334,1310,1471,1398,1523,1467,1357,1409,1500,1423,16567
443142,Electronics stores,5964,5385,5858,5179,5641,5585,5647,6052,5766,5687,7742,9463,73969
444,Building mat. and garden equip. and supplies dealers,26620,24039,29916,34033,37235,33517,33691,32375,29963,32629,29793,28621,372432
4441,Building mat. and supplies dealers,23425,21061,25871,29233,32196,29265,29938,28915,26662,28697,26220,24990,326473
44412,Paint and wallpaper stores,912,860,1029,982,1192,1174,1248,1257,1149,1162,940,829,12734
44413,Hardware stores,2083,1910,2340,2517,2821,2579,2524,2525,2317,2549,2335,2337,28837
445,Food and beverage stores,62829,56898,63504,62402,66510,64479,66428,66937,62420,64849,66363,70028,773647
4451,Grocery stores,57184,51284,57216,56053,59656,57791,59460,59954,56083,58172,59224,60938,693015
44511,Supermarkets and other grocery (except convenience) stores,54876,49031,54609,53382,56715,54902,56476,56957,53251,55304,56499,58214,660216
4453,"Beer, wine, and liquor stores",3933,3916,4445,4358,4861,4769,4993,5017,4454,4676,5057,6326,56805
446,Health and personal care stores,28639,26772,28786,28402,29487,27642,28142,28528,27297,29551,27844,31479,342569
44611,Pharmacies and drug stores,24194,22372,23599,23766,24612,22692,23437,23562,22515,24856,22815,25195,283615
447,Gasoline stations,36439,35514,42065,44270,47387,44876,46392,45949,42751,44348,41424,40962,512377
448,Clothing and clothing access. stores,16155,17961,22059,21500,23079,21116,21742,23829,19567,21400,25170,35157,268735
4481,Clothing stores,11955,12514,16212,15820,16829,15728,15971,17028,14374,16070,18992,24357,195850
44811,Men's clothing stores,630,591,733,846,852,740,669,714,725,777,830,1003,9110
44812,Women's clothing stores,2400,2571,3430,3438,3636,3116,3104,3169,2923,3226,3664,4274,38951
44814,Family clothing stores,6606,6905,9058,8747,9381,9009,9246,10034,8193,9347,11232,14433,112191
44819,Other clothing stores,1179,1212,1458,1285,1395,1496,1472,1496,1225,1287,1577,2296,17378
4482,Shoe stores,2187,2722,3383,3043,3018,2796,3093,3988,2594,2721,3038,4044,36627
44831,Jewelry stores,1788,2484,2197,2378,2898,2291,2405,2519,2330,2353,2809,6188,32640
451,"Sporting goods, hobby, musical instrument, and book stores",5658,5249,6353,6253,6522,6671,6636,7608,6325,6435,7382,9665,80757
45111,Sporting goods stores,2784,2876,3700,3678,3826,4165,4133,4368,3403,3526,3825,5337,45621
45112,"Hobby, toy, and game stores",1131,1088,1265,1159,1235,1169,1178,1269,1254,1407,2064,2305,16524
451211,Book stores,1029,585,603,650,696,613,591,1124,871,650,640,1074,9126
452,General merchandise stores,51708,50626,58788,56991,60909,58979,58759,61777,54785,58872,66356,77926,716476
4521,Department stores,8681,9108,10615,10422,11267,10605,10610,11542,9732,10441,13360,18276,134659
452111,Department stores(excl. discount department stores),2367,2641,3080,3098,3287,3014,2940,3054,2858,2921,4135,6153,39548
452112,Discount dept. stores,6314,6467,7535,7324,7980,7591,7670,8488,6874,7520,9225,12123,95111
4529,Other general merchandise stores,43027,41518,48173,46569,49642,48374,48149,50235,45053,48431,52996,59650,581817
45291,Warehouse clubs and superstores,37147,35759,41608,39923,42586,41710,41581,43575,38806,41653,45788,51201,501337
45299,All other gen. merchandise stores,5880,5759,6565,6646,7056,6664,6568,6660,6247,6778,7208,8449,80480
453,Miscellaneous store retailers,9141,8938,10028,10492,12343,11183,11234,11689,10711,11933,11641,12227,131560
4532,"Office supplies, stationery, and gift stores",2039,1940,2154,2166,2497,2359,2595,2782,2324,2846,2270,2950,28922
45321,Office supplies and stationery stores,1014,833,889,848,828,751,891,1260,893,831,770,911,10719
45322,"Gift, novelty, and souvenir stores",1025,1107,1265,1318,1669,1608,1704,1522,1431,2015,1500,2039,18203
45330,Used merchandise stores,1366,1342,1526,1583,1446,1415,1456,1632,1557,1842,1624,1511,18300
454,Nonstore retailers,58403,54156,58091,59140,63232,58740,62532,62064,58886,65195,71509,89716,761664
4541,Electronic shopping and mail-order houses,49099,45894,49797,51785,55752,51981,55604,54963,51913,57196,63340,80543,667867
45431,Fuel dealers,4656,3987,3738,2612,2193,1785,1857,1954,2041,2666,3371,4110,34970
722,Food services and drinking places,57077,57307,66690,63999,68306,66674,66613,68469,63520,65759,63127,66004,773545
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
7225,Restaurants and other eating places,50245,50014,58242,55676,59735,58908,59300,59998,54572,56410,54745,57953,675798
722511,Full service restaurants,24924,24992,28567,27052,29627,29112,29069,29623,26720,27595,27221,29811,334313
"722513, 722514, 722515",Limited service eating places,25321,25022,29675,28624,30108,29796,30231,30375,27852,28815,27524,28142,341485
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",502724,502627,510320,512326,513870,515911,519447,521833,518605,521114,522805,523862,
,Retail sales and food services excl motor vehicle and parts,403119,402274,407080,410137,411251,412955,415767,416233,414893,417017,416225,419039,
,Retail sales and food services excl gasoline stations,462943,461187,467658,468839,470594,473294,476049,479050,476067,477848,479565,479769,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,363338,360834,364418,366650,367975,370338,372369,373450,372355,373751,372985,374946,
,"Retail sales, total",440751,439996,447167,448709,449552,450927,454012,456500,452849,455486,457658,458055,
,"Retail sales, total (excl. motor vehicle and parts dealers)",341146,339643,343927,346520,346933,347971,350332,350900,349137,351389,351078,353232,
,GAFO(1),107814,107153,108744,109319,108851,109081,109662,109339,108996,109047,108946,109703,
441,Motor vehicle and parts dealers,99605,100353,103240,102189,102619,102956,103680,105600,103712,104097,106580,104823,
"4411,4412",Automobile and other motor vehicle dealers,91828,92351,95081,94055,94517,94886,95634,97409,95681,95987,98421,96717,
4413,"Automotive parts, acc., and tire stores",7777,8002,8159,8134,8102,8070,8046,8191,8031,8110,8159,8106,
"442,443","Furniture, home furn, electronics, and appliance stores",17406,17370,17579,17592,17664,17620,17719,17654,17795,17566,17733,17487,
442,Furniture and home furnishings stores,9787,9862,10008,10073,10074,10071,10067,10082,10177,10120,10219,9990,
443,Electronics and appliance stores,7619,7508,7571,7519,7590,7549,7652,7572,7618,7446,7514,7497,
444,Building mat. and garden equip. and supplies dealers,32451,30745,31106,30959,30338,30385,30679,31270,30806,31118,31312,31952,
4441,Building mat. and supplies dealers,28291,26795,27290,27295,27010,26775,26826,27382,26904,27022,27143,27798,
445,Food and beverage stores,63940,62493,63724,63950,64071,64557,65344,65328,64871,64915,65212,65676,
4451,Grocery stores,57299,55865,57045,57255,57417,57849,58581,58549,58117,58172,58406,58877,
4453,"Beer, wine and liquor stores",4660,4667,4704,4686,4683,4736,4760,4783,4764,4742,4798,4829,
446,Health and personal care stores,28639,28756,28700,28545,28684,28615,28398,28414,28434,28718,28499,28359,
44611,Pharmacies and drug stores,23673,23699,23741,23624,23849,23736,23626,23586,23625,23900,23400,23307,
447,Gasoline stations,39781,41440,42662,43487,43276,42617,43398,42783,42538,43266,43240,44093,
448,Clothing and clothing access. stores,22040,22012,22431,22360,22246,22374,22548,22432,22415,22400,22272,22941,
4481,Clothing stores,16097,15991,16328,16299,16265,16346,16409,16276,16187,16314,16316,16759,
44811,Men's clothing stores,788,740,759,769,759,746,760,754,758,766,764,755,
44812,Women's clothing stores,3297,3230,3324,3271,3299,3259,3278,3214,3226,3210,3203,3199,
4482,Shoe stores,3102,3125,3168,3083,3030,3042,3068,3040,3016,3044,2964,3016,
44831,Jewelry stores,2569,2623,2653,2693,2659,2670,2774,2805,2902,2755,2673,2822,
451,"Sporting goods, hobby, musical instrument, and book stores",6541,6594,6632,6775,6815,6892,6785,6775,6823,6846,6633,6702,
