Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2017,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL
444,Building mat. and garden equip. and supplies dealers,22389,22494,29230,31259,35632,33437,30060,30304,28978,29672,29182,26728,349365
4441,Building mat. and supplies dealers,20256,19963,25217,25962,29761,28839,26497,27031,26017,26536,25953,23439,305471
44412,Paint and wallpaper stores,747,772,978,935,1082,1115,1044,1124,1015,1039,897,788,11536
44413,Hardware stores,1781,1696,2127,2208,2441,2392,2194,2248,2161,2264,2153,2226,25891
445,Food and beverage stores,57800,54492,60237,59605,62115,60545,61611,61414,60283,60762,62093,67886,728843
4451,Grocery stores,52552,49212,54366,53635,55709,54191,55159,55083,54142,54561,55443,59125,653178
44511,Supermarkets and other grocery (except convenience) stores,50497,47201,52090,51267,53223,51771,52679,52628,51676,52095,53089,56756,624972
4453,"Beer, wine, and liquor stores",3578,3606,4074,4077,4456,4482,4598,4452,4346,4343,4638,5972,52622
446,Health and personal care stores,25715,24718,27499,25819,27376,26848,25966,27609,26551,27761,27402,30602,323866
44611,Pharmacies and drug stores,21723,20599,22640,21612,23007,22345,21610,22820,21944,23386,22676,24692,269054
447,Gasoline stations,35924,34210,39103,39460,41292,40493,40211,41634,41677,41964,40241,39943,476152
448,Clothing and clothing access. stores,15907,18020,21332,21143,21945,20618,20795,22775,19909,20469,24560,33923,261396
4481,Clothing stores,11843,12703,15785,15683,16005,15397,15368,16356,14713,15361,18393,23501,191108
44811,Men's clothing stores,622,644,797,834,873,803,688,719,759,745,786,1026,9296
44812,Women's clothing stores,2373,2668,3364,3496,3487,3220,3083,3173,3007,3179,3638,4524,39212
44814,Family clothing stores,6024,6542,8372,8440,8623,8388,8711,9125,8079,8628,10639,13641,105212
44819,Other clothing stores,1502,1444,1579,1376,1479,1494,1385,1576,1362,1297,1513,1815,17822
4482,Shoe stores,2143,2674,3233,3076,2918,2765,2976,3925,2754,2646,3078,4144,36332
44831,Jewelry stores,1742,2435,2101,2172,2746,2237,2204,2263,2215,2231,2810,5832,30988
451,"Sporting goods, hobby, musical instrument, and book stores",6215,5549,6623,6339,6552,6716,6499,7639,6722,6349,7794,10899,83896
45111,Sporting goods stores,2955,3030,3780,3645,3802,4108,3916,4225,3573,3402,3999,5530,45965
45112,"Hobby, toy, and game stores",1182,1181,1355,1278,1247,1178,1193,1243,1348,1445,2239,3258,18147
451211,Book stores,1380,672,690,712,766,685,647,1370,976,654,663,1114,10329
452,General merchandise stores,49906,49571,55762,55651,56603,56738,56386,57880,54481,56416,63781,78716,691891
4521,Department stores,9386,9909,11630,11460,11833,11587,11332,12170,10891,11176,14897,20383,146654
452111,Department stores(excl. discount department stores),2847,3266,3768,3789,3983,3665,3516,3608,3557,3586,4907,7943,48435
452112,Discount dept. stores,6539,6643,7862,7671,7850,7922,7816,8562,7334,7590,9990,12440,98219
4529,Other general merchandise stores,40520,39662,44132,44191,44770,45151,45054,45710,43590,45240,48884,58333,545237
45291,Warehouse clubs and superstores,35225,34246,37986,38044,38470,38860,38973,39541,37601,39009,42138,50087,470180
45299,All other gen. merchandise stores,5295,5416,6146,6147,6300,6291,6081,6169,5989,6231,6746,8246,75057
453,Miscellaneous store retailers,8654,8804,9919,9692,11205,10517,10265,10750,10198,10679,10763,11736,123182
4532,"Office supplies, stationery, and gift stores",2196,2059,2291,2206,2449,2379,2459,2875,2494,2896,2419,3338,30061
45321,Office supplies and stationery stores,1186,971,1058,920,961,897,926,1390,1076,941,919,1016,12261
45322,"Gift, novelty, and souvenir stores",1010,1088,1233,1286,1488,1482,1533,1485,1418,1955,1500,2322,17800
45330,Used merchandise stores,1226,1249,1426,1321,1388,1324,1380,1455,1425,1562,1483,1500,16739
454,Nonstore retailers,45822,43112,49590,45486,49369,47780,46412,49518,46838,49547,61102,73618,608194
4541,Electronic shopping and mail-order houses,38057,35954,41820,39274,42753,41570,40756,43216,40559,42667,53288,64725,524639
45431,Fuel dealers,3943,3375,3371,2129,1914,1632,1472,1707,1854,2362,3243,4431,31433
722,Food services and drinking places,52983,52835,60191,58623,60171,58695,58474,58502,57132,58184,55671,61188,692649
7224,Drinking places,1977,1955,2278,2119,2182,2098,2157,2104,2160,2204,2071,2231,25536
7225,Restaurants and other eating places,46503,45966,52531,50905,52503,51666,51817,51564,49019,49968,48097,53589,604128
722511,Full service restaurants,23690,23611,26690,25741,26175,25482,25360,25120,23977,24361,23783,27777,301767
"722513, 722514, 722515",Limited service eating places,22813,22355,25841,25164,26328,26184,26457,26444,25042,25607,24314,25812,302361
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",473484,472995,471999,474363,472010,473768,473959,474703,484385,485059,490007,492401,
,Retail sales and food services excl motor vehicle and parts,374064,374178,375294,376910,374147,375072,375038,378044,383436,383559,389394,392021,
,Retail sales and food services excl gasoline stations,433613,432889,432220,434824,433953,436135,436414,435938,443565,444119,448002,449681,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,334193,334072,335515,337371,336090,337439,337493,339279,342616,342619,347389,349301,
,"Retail sales, total",416081,415503,414620,416889,414540,416505,416744,417179,426501,426933,431158,433282,
,"Retail sales, total (excl. motor vehicle and parts dealers)",316661,316686,317915,319436,316677,317809,317823,320520,325552,325433,330545,332902,
,GAFO(1),106705,105280,105919,106260,104964,106239,105493,106019,106820,106824,107562,107690,
441,Motor vehicle and parts dealers,99420,98817,96705,97453,97863,98696,98921,96659,100949,101500,100613,100380,
"4411,4412",Automobile and other motor vehicle dealers,91642,91140,88940,89632,90104,90984,91131,88962,93074,93751,92726,92247,
4413,"Automotive parts, acc., and tire stores",7778,7677,7765,7821,7759,7712,7790,7697,7875,7749,7887,8133,
"442,443","Furniture, home furn, electronics, and appliance stores",17195,17107,17400,17285,17251,17242,17108,17198,17158,17512,17775,17758,
442,Furniture and home furnishings stores,9499,9498,9576,9434,9507,9570,9529,9601,9496,9804,9937,9960,
443,Electronics and appliance stores,7696,7609,7824,7851,7744,7672,7579,7597,7662,7708,7838,7798,
444,Building mat. and garden equip. and supplies dealers,28685,28943,28755,29063,28764,28720,28838,28843,29763,29561,29948,30044,
4441,Building mat. and supplies dealers,25383,25398,25117,25279,25051,25056,25068,25145,26148,25965,26295,26306,
445,Food and beverage stores,59561,59832,60322,60461,60614,60413,60443,60762,61331,61563,61766,62282,
4451,Grocery stores,53298,53608,54096,54177,54297,54137,54184,54430,55022,55168,55332,55884,
4453,"Beer, wine and liquor stores",4332,4298,4316,4374,4386,4377,4371,4399,4408,4482,4477,4453,
446,Health and personal care stores,26160,26436,26569,26755,26761,26983,27020,27336,27372,27568,27763,27669,
44611,Pharmacies and drug stores,21658,21867,22066,22212,22337,22571,22417,22661,22858,22972,22998,22969,
447,Gasoline stations,39871,40106,39779,39539,38057,37633,37545,38765,40820,40940,42005,42720,
448,Clothing and clothing access. stores,22025,21654,21760,21777,21648,21791,21619,21779,21897,21796,22068,21760,
4481,Clothing stores,16167,15887,15940,15969,15871,15973,15771,15893,15912,15871,16062,15906,
44811,Men's clothing stores,801,784,828,770,799,799,776,762,778,752,739,745,
44812,Women's clothing stores,3328,3290,3263,3336,3250,3326,3304,3238,3209,3218,3260,3257,
4482,Shoe stores,3088,3015,3076,3073,2993,3022,2976,3040,3046,2986,3030,3005,
44831,Jewelry stores,2558,2515,2516,2508,2531,2554,2611,2589,2682,2675,2702,2597,
451,"Sporting goods, hobby, musical instrument, and book stores",7227,7051,6964,7028,6948,6945,6841,6913,7002,7031,7144,7059,
452,General merchandise stores,57695,56965,57274,57655,56600,57767,57438,57654,58294,57996,58065,58591,
4521,Department stores,12565,12394,12390,12403,12309,12341,12170,12158,12196,12072,12057,11963,
4529,Other general merchandise stores,45130,44571,44884,45252,44291,45426,45268,45496,46098,45924,46008,46628,
45291,Warehouse clubs and superstores,38966,38479,38682,38980,38127,39173,38973,39227,39747,39643,39715,40231,
45299,All other gen. merchandise stores,6164,6092,6202,6272,6164,6253,6295,6269,6351,6281,6293,6397,
453,Miscellaneous stores retailers,10110,10280,10189,10249,10043,10048,10258,10235,10354,10392,10590,10656,
454,Nonstore retailers,48132,48312,48903,49624,49991,50267,50713,51035,51561,51074,53421,54363,
4541,Electronic shopping and mail order houses,41456,41662,42157,42922,43098,43438,43918,44008,44424,44077,46017,46733,
45431,Fuel dealers,2425,2414,2516,2523,2615,2530,2486,2579,2645,2559,2896,3123,
722,Food services and drinking places,57403,57492,57379,57474,57470,57263,57215,57524,57884,58126,58849,59119,
 ,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
