Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2002,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2002,Feb. 2002,Mar. 2002,Apr. 2002,May 2002,Jun. 2002,Jul. 2002,Aug. 2002,Sep. 2002,Oct. 2002,Nov. 2002,Dec. 2002,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",255598,253086,285261,284747,300402,288854,295433,307256,273189,287540,290705,337006,3459077
,Retail sales and food services excl motor vehicle and parts,195033,190149,215490,213955,228248,217787,219025,227673,208039,221211,230116,273540,2640266
,Retail sales and food services excl gasoline stations,238094,236382,265428,263641,278174,267188,272452,284125,251811,265275,269818,316070,3208458
,Retail sales and food services excl motor vehicle and parts and gasoline stations,177529,173445,195657,192849,206020,196121,196044,204542,186661,198946,209229,252604,2389647
,"Retail sales, total",230546,228084,257133,257357,271682,260385,266795,277716,246350,259945,263738,308821,3128552
,"Retail sales, total (excl. motor vehicle and parts dealers)",169981,165147,187362,186565,199528,189318,190387,198133,181200,193616,203149,245355,2309741
,GAFO(1),63242,64043,73116,69137,74799,72042,70434,78050,68301,73606,85664,120273,912707
441,Motor vehicle and parts dealers,60565,62937,69771,70792,72154,71067,76408,79583,65150,66329,60589,63466,818811
"4411,4412",Automobile and other motor vehicle dealers,55799,58319,64656,65420,66622,65644,70738,73817,60031,60823,55631,58689,756189
4411,Automobile dealers,52948,54817,60116,60242,61020,60575,65824,69228,56437,57414,52483,55578,706682
44111,New car dealers,48146,49591,54904,54982,55678,55376,60595,63686,51582,52271,47747,51201,645759
44112,Used car dealers,4802,5226,5212,5260,5342,5199,5229,5542,4855,5143,4736,4377,60923
4413,"Automotive parts, acc., and tire stores",4766,4618,5115,5372,5532,5423,5670,5766,5119,5506,4958,4777,62622
"442,443","Furniture, home furn, electronics, and appliance stores",14342,13916,15029,13882,15047,14591,14716,15755,14231,14809,17191,22137,185646
442,Furniture and home furnishings stores,7149,7091,7777,7370,7991,7502,7671,8205,7456,7859,8839,9528,94438
4421,Furniture stores,4097,4112,4448,4110,4403,4150,4150,4371,4047,4182,4677,4517,51264
4422,Home furnishings stores,3052,2979,3329,3260,3588,3352,3521,3834,3409,3677,4162,5011,43174
44221,Floor covering stores,1409,1420,1576,1608,1684,1586,1606,1738,1592,1671,1627,1508,19025
442299,All other home furnishings stores,1534,1471,1662,1556,1801,1667,1803,1984,1720,1899,2420,3380,22897
443,Electronics and appliance stores,7193,6825,7252,6512,7056,7089,7045,7550,6775,6950,8352,12609,91208
443141,Household appliance stores,1085,1036,1152,1160,1194,1209,1285,1204,1111,1157,1228,1384,14205
443142,Electronics stores,6108,5789,6100,5352,5862,5880,5760,6346,5664,5793,7124,11225,77003
444,Building mat. and garden equip. and supplies dealers,16519,15999,19179,24464,25657,23283,22545,21540,20167,21694,19520,17972,248539
4441,Building mat. and supplies dealers,14957,14458,16873,20038,20917,19357,19721,19365,18240,19474,17593,16191,217184
44412,Paint and wallpaper stores,566,553,631,709,760,737,790,788,705,744,597,516,8096
44413,Hardware stores,1154,1094,1292,1534,1685,1600,1555,1467,1322,1403,1398,1458,16962
445,Food and beverage stores,37662,35215,39485,36629,40390,38715,39773,39918,37068,38461,39501,42039,464856
4451,Grocery stores,34533,32024,35863,33190,36478,34933,35885,36025,33610,34885,35649,36738,419813
44511,Supermarkets and other grocery (except convenience) stores,32836,30391,34034,31360,34485,32932,33849,34044,31689,32973,33812,34867,397272
4453,"Beer, wine, and liquor stores",2114,2109,2366,2300,2569,2486,2568,2595,2297,2401,2601,3488,29894
446,Health and personal care stores,14467,13995,15040,14865,15395,14424,14884,15060,14432,15298,14934,17189,179983
44611,Pharmacies and drug stores,12471,11952,12802,12627,13143,12303,12644,12784,12393,13143,12901,14773,153936
447,Gasoline stations,17504,16704,19833,21106,22228,21666,22981,23131,21378,22265,20887,20936,250619
448,Clothing and clothing access. stores,10344,11730,13977,13195,14150,13210,12873,15113,12445,14006,15911,25350,172304
4481,Clothing stores,7468,7971,10178,9517,9882,9530,9338,10804,9139,10461,11703,16843,122834
44811,Men's clothing stores,540,534,657,632,665,650,592,695,604,669,761,1113,8112
44812,Women's clothing stores,1987,2159,2779,2680,2755,2478,2260,2538,2373,2531,2740,3966,31246
44814,Family clothing stores,3594,3849,5054,4725,4980,4952,5033,5841,4700,5638,6529,9394,64289
44819,Other clothing stores,677,653,749,673,700,710,640,673,624,728,751,1188,8766
4482,Shoe stores,1463,1655,2073,1943,2026,1899,1869,2440,1694,1778,1880,2481,23201
44831,Jewelry stores,1294,1989,1600,1614,2105,1655,1542,1733,1492,1651,2193,5770,24638
451,"Sporting goods, hobby, musical instrument, and book stores",5394,4483,5214,4958,5215,5194,5150,6184,5419,5173,6697,10131,69212
45111,Sporting goods stores,1739,1763,2167,2157,2141,2276,2177,2384,1998,1897,2133,3387,26219
45112,"Hobby, toy, and game stores",896,966,1186,1014,1078,1065,1103,1087,1048,1347,2468,3651,16909
451211,Book stores,1971,1000,1008,966,1116,1045,1038,1797,1490,997,1059,1950,15437
452,General merchandise stores,30066,30877,35941,34282,37336,36269,34750,37482,33120,36322,42500,57575,446520
4521,Department stores,14536,15102,17916,17156,18339,17449,16449,18307,15831,17523,21076,31059,220743
452111,Department stores(excl. discount department stores),5314,5701,6940,6539,7030,6540,6080,7020,6186,6815,8650,14042,86857
452112,Discount dept. stores,9222,9401,10976,10617,11309,10909,10369,11287,9645,10708,12426,17017,133886
4529,Other general merchandise stores,15530,15775,18025,17126,18997,18820,18301,19175,17289,18799,21424,26516,225777
45291,Warehouse clubs and superstores,13164,13396,15287,14467,16085,16024,15619,16358,14713,15895,18153,22091,191252
45299,All other gen. merchandise stores,2366,2379,2738,2659,2912,2796,2682,2817,2576,2904,3271,4425,34525
453,Miscellaneous store retailers,7782,7905,7974,8079,8965,8326,8407,9083,8222,8743,8434,10863,102783
4532,"Office supplies, stationery, and gift stores",3096,3037,2955,2820,3051,2778,2945,3516,3086,3296,3365,5080,39025
45321,Office supplies and stationery stores,2042,1734,1722,1616,1567,1403,1531,2012,1778,1764,1701,2091,20961
45322,"Gift, novelty, and souvenir stores",1054,1303,1233,1204,1484,1375,1414,1504,1308,1532,1664,2989,18064
45330,Used merchandise stores,870,793,812,782,749,765,783,811,742,761,753,879,9500
454,Nonstore retailers,15901,14323,15690,15105,15145,13640,14308,14867,14718,16845,17574,21163,189279
4541,Electronic shopping and mail-order houses,9912,8925,9670,9684,9713,8969,9478,9845,9678,10738,11412,14190,122214
45431,Fuel dealers,2826,2303,2197,1746,1571,1306,1399,1510,1599,2083,2314,3127,23981
722,Food services and drinking places,25052,25002,28128,27390,28720,28469,28638,29540,26839,27595,26967,28185,330525
7224,Drinking places,1289,1274,1430,1343,1405,1372,1426,1431,1297,1349,1347,1367,16330
7225,Restaurants and other eating places,21704,21637,24344,23605,24811,24606,24997,25724,22920,23567,23141,24436,285492
722511,Full service restaurants,11462,11355,12630,12076,12790,12620,12810,13294,11694,12084,11964,12758,147537
"722513, 722514, 722515",Limited service eating places,10242,10282,11714,11529,12021,11986,12187,12430,11226,11483,11177,11678,137955
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",283508,285054,284262,288833,284951,287372,290385,292650,288410,289576,291484,293947,
,Retail sales and food services excl motor vehicle and parts,215843,216886,217692,220582,219889,220018,220441,220446,220344,222023,223553,224153,
,Retail sales and food services excl gasoline stations,264378,265986,264449,267977,264021,266639,268947,271468,267138,267917,269475,271483,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,196713,197818,197879,199726,198959,199285,199003,199264,199072,200364,201544,201689,
,"Retail sales, total",256307,257670,257059,261333,257573,259786,262769,265043,260626,261953,263568,265930,
,"Retail sales, total (excl. motor vehicle and parts dealers)",188642,189502,190489,193082,192511,192432,192825,192839,192560,194400,195637,196136,
,GAFO(1),75476,75931,76102,76418,75939,76171,75517,75877,75532,76904,76841,77092,
441,Motor vehicle and parts dealers,67665,68168,66570,68251,65062,67354,69944,72204,68066,67553,67931,69794,
"4411,4412",Automobile and other motor vehicle dealers,62485,62979,61460,63025,59858,62104,64660,66924,62794,62319,62718,64635,
4413,"Automotive parts, acc., and tire stores",5180,5189,5110,5226,5204,5250,5284,5280,5272,5234,5213,5159,
"442,443","Furniture, home furn, electronics, and appliance stores",15451,15575,15626,15490,15637,15487,15284,15357,15343,15311,15508,15587,
442,Furniture and home furnishings stores,7847,7932,7936,7874,7959,7831,7741,7837,7832,7789,7963,7927,
443,Electronics and appliance stores,7604,7643,7690,7616,7678,7656,7543,7520,7511,7522,7545,7660,
444,Building mat. and garden equip. and supplies dealers,20359,20515,20370,21274,20874,20725,20674,20683,20732,20603,20969,20415,
4441,Building mat. and supplies dealers,17743,17849,17836,18692,18252,18040,18010,18081,18149,18048,18307,17871,
445,Food and beverage stores,38833,38885,38913,38568,38713,38723,38834,38647,38599,38693,38886,39072,
4451,Grocery stores,35130,35114,35160,34827,34941,34933,35044,34874,34865,34990,35157,35257,
4453,"Beer, wine and liquor stores",2493,2532,2517,2503,2511,2511,2505,2481,2467,2438,2454,2526,
446,Health and personal care stores,14525,14747,14745,14940,14903,14947,15004,15120,15288,15298,15348,15293,
44611,Pharmacies and drug stores,12397,12528,12551,12742,12723,12802,12811,12926,13087,13065,13232,13226,
447,Gasoline stations,19130,19068,19813,20856,20930,20733,21438,21182,21272,21659,22009,22464,
448,Clothing and clothing access. stores,14220,14357,14436,14410,14220,14366,14200,14338,13966,14625,14456,14714,
4481,Clothing stores,10103,10205,10226,10252,10071,10246,10187,10214,9934,10531,10360,10522,
44811,Men's clothing stores,679,700,692,702,678,680,677,665,668,670,668,664,
44812,Women's clothing stores,2628,2659,2647,2656,2584,2592,2551,2590,2524,2549,2578,2698,
4482,Shoe stores,1961,1977,1939,1967,1939,1960,1919,1933,1882,1914,1914,1928,
44831,Jewelry stores,2009,2038,2136,2048,2076,2026,1957,2056,2013,2048,2050,2128,
451,"Sporting goods, hobby, musical instrument, and book stores",5775,5711,5717,5799,5731,5670,5666,5689,5852,5839,5985,5809,
452,General merchandise stores,36811,36974,37144,37491,37114,37417,37132,37202,37059,37816,37698,37716,
4521,Department stores,18935,18811,18905,19018,18530,18604,18297,18261,18041,18541,18010,17917,
4529,Other general merchandise stores,17876,18163,18239,18473,18584,18813,18835,18941,19018,19275,19688,19799,
45291,Warehouse clubs and superstores,14959,15310,15410,15623,15754,15928,16003,16069,16133,16353,16762,16863,
45299,All other gen. merchandise stores,2917,2853,2829,2850,2830,2885,2832,2872,2885,2922,2926,2936,
453,Miscellaneous stores retailers,8447,8616,8380,8579,8539,8639,8575,8740,8724,8579,8362,8569,
454,Nonstore retailers,15091,15054,15345,15675,15850,15725,16018,15881,15725,15977,16416,16497,
4541,Electronic shopping and mail order houses,9902,9994,9898,10025,10086,10066,10224,10266,10241,10305,10528,10527,
45431,Fuel dealers,1751,1732,1820,1960,2048,1997,2057,2024,2029,2136,2271,2318,
722,Food services and drinking places,27201,27384,27203,27500,27378,27586,27616,27607,27784,27623,27916,28017,
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
