Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1997,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May 1997,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997,TOTAL
45299,All other gen. merchandise stores,2005,2049,2354,2206,2473,2372,2407,2486,2251,2461,2681,3591,29336
453,Miscellaneous store retailers,6415,6829,6975,7035,7465,7464,7526,7661,7565,7614,7406,10277,90232
4532,"Office supplies, stationery, and gift stores",2620,2632,2596,2490,2513,2422,2538,2811,2690,2841,2908,4606,33667
45321,Office supplies and stationery stores,1686,1448,1394,1345,1291,1234,1330,1551,1529,1526,1310,1690,17334
45322,"Gift, novelty, and souvenir stores",934,1184,1202,1145,1222,1188,1208,1260,1161,1315,1598,2916,16333
45330,Used merchandise stores,621,687,620,559,558,584,667,674,691,766,740,891,8058
454,Nonstore retailers,10532,9813,10607,10064,9695,9396,9495,9104,10278,11506,11852,13848,126190
4541,Electronic shopping and mail-order houses,5042,4577,5594,5491,5304,5204,5198,5165,6080,6693,7029,8690,70067
45431,Fuel dealers,3016,2311,1996,1706,1461,1256,1273,1352,1452,1752,1920,2446,21941
722,Food services and drinking places,19316,19128,21383,21110,22674,21874,22665,23300,21392,22106,20751,21665,257364
7224,Drinking places,1051,1000,1102,1094,1143,1094,1175,1212,1109,1185,1102,1112,13379
7225,Restaurants and other eating places,16718,16625,18627,18361,19759,18986,19737,20287,18434,19081,17940,18753,223308
722511,Full service restaurants,8658,8610,9559,9301,9942,9428,10036,10481,9505,9813,9192,9661,114186
"722513, 722514, 722515",Limited service eating places,8060,8015,9068,9060,9817,9558,9701,9806,8929,9268,8748,9092,109122
,ADJUSTED(2),,,,,,,,,,,,,
,"Retail and food services sales, total",223481,225422,226161,224615,222929,226057,228703,229309,230312,229836,230440,231181,
,Retail sales and food services excl motor vehicle and parts,169471,170821,171928,170754,170738,171991,173448,173821,174978,174980,175126,175418,
,Retail sales and food services excl gasoline stations,206543,208438,209192,208002,206562,209679,212307,212627,213555,213125,213802,214645,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,152533,153837,154959,154141,154371,155613,157052,157139,158221,158269,158488,158882,
,"Retail sales, total",202371,204286,204990,203399,201699,204675,207014,207635,208326,208078,208936,209363,
,"Retail sales, total (excl. motor vehicle and parts dealers)",148361,149685,150757,149538,149508,150609,151759,152147,152992,153222,153622,153600,
,GAFO(1),58188,58444,58750,58373,58605,59158,59779,59989,60090,60536,60811,60843,
441,Motor vehicle and parts dealers,54010,54601,54233,53861,52191,54066,55255,55488,55334,54856,55314,55763,
"4411,4412",Automobile and other motor vehicle dealers,49223,49794,49373,49005,47406,49176,50346,50536,50355,49941,50318,50945,
