Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2015,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",398555,388766,446581,439993,465244,450172,459960,458313,432898,446746,446334,518656,5352218
,Retail sales and food services excl motor vehicle and parts,319532,308588,349376,345534,366995,354741,361299,359485,341246,355452,361409,424623,4248280
,Retail sales and food services excl gasoline stations,365413,356478,408972,402048,422991,407293,415960,416260,395206,408608,412260,484982,4896471
,Retail sales and food services excl motor vehicle and parts and gasoline stations,286390,276300,311767,307589,324742,311862,317299,317432,303554,317314,327335,390949,3792533
,"Retail sales, total",350466,342030,393318,387581,409703,398034,406760,405111,382135,392721,396150,464110,4728119
,"Retail sales, total (excl. motor vehicle and parts dealers)",271443,261852,296113,293122,311454,302603,308099,306283,290483,301427,311225,370077,3624181
,GAFO(1),90414,90578,101430,97465,105988,100182,102602,107975,98028,103560,114934,149506,1262662
441,Motor vehicle and parts dealers,79023,80178,97205,94459,98249,95431,98661,98828,91652,91294,84925,94033,1103938
"4411,4412",Automobile and other motor vehicle dealers,72372,73422,89461,86739,90562,87343,90443,90964,84039,83332,77576,86764,1013017
4411,Automobile dealers,68972,69540,83389,80246,83686,80548,84213,85299,78873,78547,73861,82337,949511
44111,New car dealers,61368,60223,73806,71017,74882,71952,75574,76687,70953,70410,66478,75068,848418
44112,Used car dealers,7604,9317,9583,9229,8804,8596,8639,8612,7920,8137,7383,7269,101093
4413,"Automotive parts, acc., and tire stores",6651,6756,7744,7720,7687,8088,8218,7864,7613,7962,7349,7269,90921
"442,443","Furniture, home furn, electronics, and appliance stores",16017,15290,16577,15457,16617,16602,17104,17332,17066,17030,19542,23439,208073
442,Furniture and home furnishings stores,8028,7583,8698,8349,8993,8680,9227,9268,9090,9235,9610,11055,107816
4421,Furniture stores,4493,4328,4844,4457,4974,4739,4922,5070,5138,4996,5051,5279,58291
4422,Home furnishings stores,3535,3255,3854,3892,4019,3941,4305,4198,3952,4239,4559,5776,49525
44221,Floor covering stores,1391,1311,1538,1655,1647,1664,1787,1742,1660,1799,1600,1693,19487
442299,All other home furnishings stores,2034,1832,2181,2112,2247,2156,2402,2342,2176,2321,2844,3966,28613
443,Electronics and appliance stores,7989,7707,7879,7108,7624,7922,7877,8064,7976,7795,9932,12384,100257
443141,Household appliance stores,1277,1255,1422,1343,1522,1533,1545,1438,1470,1403,1556,1610,17374
443142,Electronics stores,6712,6452,6457,5765,6102,6389,6332,6626,6506,6392,8376,10774,82883
444,Building mat. and garden equip. and supplies dealers,20708,19470,25912,30742,32454,30852,29841,27107,26870,27667,26075,26232,323930
