Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2006,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2006,Feb. 2006,Mar. 2006,Apr. 2006,May 2006,Jun. 2006,Jul. 2006,Aug. 2006,Sep. 2006,Oct. 2006,Nov. 2006,Dec. 2006,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",318546,314051,361993,351667,373560,366615,362203,375795,346214,348796,356928,417991,4294359
,Retail sales and food services excl motor vehicle and parts,252809,246599,279239,275487,292043,286016,281314,292798,273214,278431,289416,346996,3394362
,Retail sales and food services excl gasoline stations,287746,284798,328106,315665,334544,327489,321618,334744,311384,315588,325372,385329,3872383
,Retail sales and food services excl motor vehicle and parts and gasoline stations,222009,217346,245352,239485,253027,246890,240729,251747,238384,245223,257860,314334,2972386
,"Retail sales, total",286152,282417,326153,316526,337393,330844,325905,339155,310775,312976,323089,380188,3871573
,"Retail sales, total (excl. motor vehicle and parts dealers)",220415,214965,243399,240346,255876,250245,245016,256158,237775,242611,255577,309193,2971576
,GAFO(1),78420,79008,86862,85932,89166,88412,86913,92998,87134,88479,102281,144550,1110155
441,Motor vehicle and parts dealers,65737,67452,82754,76180,81517,80599,80889,82997,73000,70365,67512,70995,899997
"4411,4412",Automobile and other motor vehicle dealers,60247,62018,76416,70287,75339,74196,74707,76418,66970,64170,61655,65299,827722
4411,Automobile dealers,56440,57559,69930,63333,67661,66999,68328,70525,61990,59614,57344,61075,760798
44111,New car dealers,50629,51314,62921,56863,61023,60477,61957,63872,55786,53468,51710,55602,685622
44112,Used car dealers,5811,6245,7009,6470,6638,6522,6371,6653,6204,6146,5634,5473,75176
4413,"Automotive parts, acc., and tire stores",5490,5434,6338,5893,6178,6403,6182,6579,6030,6195,5857,5696,72275
"442,443","Furniture, home furn, electronics, and appliance stores",17370,16693,18092,16346,17583,17956,17695,18991,17881,17236,20534,26509,222886
442,Furniture and home furnishings stores,8595,8457,9412,8556,9209,9447,9244,9940,9511,9178,10195,11051,112795
4421,Furniture stores,4794,4804,5154,4647,4881,5006,4986,5359,5128,4854,5241,5268,60122
4422,Home furnishings stores,3801,3653,4258,3909,4328,4441,4258,4581,4383,4324,4954,5783,52673
44221,Floor covering stores,1664,1712,1985,1851,2050,2124,1929,2120,2042,1948,1957,1772,23154
442299,All other home furnishings stores,2008,1810,2112,1908,2110,2149,2176,2299,2191,2233,2841,3887,27724
443,Electronics and appliance stores,8775,8236,8680,7790,8374,8509,8451,9051,8370,8058,10339,15458,110091
443141,Household appliance stores,1325,1298,1457,1363,1471,1503,1518,1569,1482,1464,1594,1701,17745
