Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2016,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
452111,Department stores(excl. discount department stores),3162,3727,4289,4076,4228,4085,3851,3920,3902,3921,5214,8536,52911,
452112,Discount dept. stores,7037,7347,8279,7571,8010,8211,7999,8815,7507,8013,9678,12822,101289,
4529,Other general merchandise stores,39479,40545,43807,42175,44424,43384,44126,43843,40734,43883,46773,55340,528513,
45291,Warehouse clubs and superstores,34531,35117,37820,36557,38385,37433,38312,38096,35077,37969,40424,47471,457192,
45299,All other gen. merchandise stores,4948,5428,5987,5618,6039,5951,5814,5747,5657,5914,6349,7869,71321,
453,Miscellaneous store retailers,8335,8665,9714,9789,10937,10451,10055,10404,10184,10572,10078,11485,120669,
4532,"Office supplies, stationery, and gift stores",2261,2242,2379,2381,2528,2399,2525,2971,2623,2882,2427,3494,31112,
45321,Office supplies and stationery stores,1215,1104,1136,1065,1026,949,991,1493,1207,996,972,1129,13283,
45322,"Gift, novelty, and souvenir stores",1046,1138,1243,1316,1502,1450,1534,1478,1416,1886,1455,2365,17829,
45330,Used merchandise stores,1173,1207,1307,1318,1323,1279,1365,1413,1390,1506,1432,1394,16107,
454,Nonstore retailers,40319,40443,43853,41619,43195,42919,41149,44061,43006,43921,52894,66466,543845,
4541,Electronic shopping and mail-order houses,33172,33394,37066,35531,37026,36914,35762,38405,37147,37651,46353,58607,467028,
45431,Fuel dealers,3560,3342,2566,1973,1707,1493,1366,1502,1661,2126,2505,3709,27510,
722,Food services and drinking places,50021,51471,55860,56355,57069,54676,56069,55241,54369,55818,53360,57614,657923,
7224,Drinking places,1876,1871,2039,2002,2043,1905,2060,1999,2059,2137,1968,2089,24048,
7225,Restaurants and other eating places,44091,45163,49144,48965,49724,47923,49428,48527,46274,47877,46172,50206,573494,
722511,Full service restaurants,22883,23401,24876,24833,24915,23574,24313,23732,22801,23766,22844,25997,287935,
"722513, 722514, 722515",Limited service eating places,21208,21762,24268,24132,24809,24349,25115,24795,23473,24111,23328,24209,285559,
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total",447794,452342,450830,452430,454443,459052,458060,458771,461324,462770,462407,468061,,
,Retail sales and food services excl motor vehicle and parts,354701,356770,357273,358691,360322,364300,362118,362435,364147,365738,365795,368617,,
,Retail sales and food services excl gasoline stations,413296,419477,416628,417329,418410,421785,421253,422753,424361,424817,424829,428661,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,320203,323905,323071,323590,324289,327033,325311,326417,327184,327785,328217,329217,,
,"Retail sales, total",394749,398105,396911,398190,400143,404756,403730,403968,405958,407395,406061,412610,,
,"Retail sales, total (excl. motor vehicle and parts dealers)",301656,302533,303354,304451,306022,310004,307788,307632,308781,310363,309449,313166,,
,GAFO(1),104735,106372,105540,105280,105355,106214,105243,105630,104969,105078,104472,104948,,
441,Motor vehicle and parts dealers,93093,95572,93557,93739,94121,94752,95942,96336,97177,97032,96612,99444,,
"4411,4412",Automobile and other motor vehicle dealers,85323,87827,85900,86189,86501,87032,88348,88653,89547,89332,89015,91265,,
4413,"Automotive parts, acc., and tire stores",7770,7745,7657,7550,7620,7720,7594,7683,7630,7700,7597,8179,,
"442,443","Furniture, home furn, electronics, and appliance stores",17206,17336,17174,17084,17202,17300,17295,17372,17219,17003,16822,16897,,
442,Furniture and home furnishings stores,9239,9277,9236,9203,9278,9422,9350,9333,9487,9391,9358,9297,,
443,Electronics and appliance stores,7967,8059,7938,7881,7924,7878,7945,8039,7732,7612,7464,7600,,
444,Building mat. and garden equip. and supplies dealers,28215,28260,28956,27956,27608,28271,27969,27846,27876,28050,28206,28155,,
4441,Building mat. and supplies dealers,24556,24670,24996,24316,24063,24577,24473,24369,24340,24657,24903,24819,,
445,Food and beverage stores,57620,57684,57195,57861,58126,58527,58172,58446,58717,59054,59105,59328,,
4451,Grocery stores,51655,51530,51129,51786,51962,52332,51979,52265,52454,52813,52825,53149,,
4453,"Beer, wine and liquor stores",4094,4201,4156,4188,4238,4273,4281,4286,4360,4335,4374,4224,,
446,Health and personal care stores,26247,26787,26617,26811,26722,26892,26822,26747,26683,25885,26114,26179,,
